number,apps
1,is
2,is
3,is
4,is
5,is
6,is
7,is
8,is
9,is
10,is
11,is
12,is
13,is
14,is
15,is
16,is
17,is
18,is
19,is
20,is
21,is
22,is
23,is
24,is
25,is
26,is
27,is
28,is
29,is
30,is
31,ft
32,ft
33,ft
34,ft
35,ft
36,ft
37,ft
38,ft
39,ft
40,ft
41,ft
42,ft
43,ft
44,ft
45,ft
46,ft
47,ft
48,ft
49,ft
50,ft
51,ft
52,ft
53,ft
54,ft
55,ft
56,ft
57,ft
58,ft
59,ft
60,ft
61,ft
62,ft
63,ft
64,ft
65,ft
66,ft
67,ft
68,ft
69,ft
70,ft
71,ft
72,ft
73,ft
74,ft
75,ft
76,ft
77,ft
78,ft
79,ft
80,ft
81,ft
82,ft
83,ft
84,ft
85,ft
86,ft
87,ft
88,ft
89,ft
90,ft
91,is
92,is
93,is
94,is
95,is
96,is
97,is
98,is
99,is
100,is
101,is
102,is
103,is
104,is
105,is
106,is
107,is
108,is
109,is
110,is
111,is
112,is
113,is
114,is
115,is
116,is
117,is
118,is
119,is
120,is
121,is
122,is
123,is
124,is
125,is
126,is
127,is
128,is
129,is
130,is
131,is
132,is
133,is
134,is
135,is
136,is
137,is
138,is
139,is
140,is
141,is
142,is
143,is
144,is
145,is
146,is
147,is
148,is
149,is
150,is
151,is
152,is
153,is
154,is
155,is
156,is
157,is
158,is
159,is
160,is
161,is
162,is
163,is
164,is
165,is
166,is
167,is
168,is
169,is
170,is
171,is
172,is
173,is
174,is
175,is
176,is
177,is
178,is
179,is
180,is
181,ft
182,ft
183,ft
184,ft
185,ft
186,ft
187,ft
188,ft
189,ft
190,ft
191,ft
192,ft
193,ft
194,ft
195,ft
196,ft
197,ft
198,ft
199,ft
200,ft
201,ft
202,ft
203,ft
204,ft
205,ft
206,ft
207,ft
208,ft
209,ft
210,ft
211,ft
212,ft
213,ft
214,ft
215,ft
216,ft
217,ft
218,ft
219,ft
220,ft
221,ft
222,ft
223,ft
224,ft
225,ft
226,ft
227,ft
228,ft
229,ft
230,ft
231,ft
232,ft
233,ft
234,ft
235,ft
236,ft
237,ft
238,ft
239,ft
240,ft
241,bt
242,bt
243,bt
244,bt
245,bt
246,bt
247,bt
248,bt
249,bt
250,bt
251,bt
252,bt
253,bt
254,bt
255,bt
256,bt
257,bt
258,bt
259,bt
260,bt
261,bt
262,bt
263,bt
264,bt
265,bt
266,bt
267,bt
268,bt
269,bt
270,bt
271,sp
272,sp
273,sp
274,sp
275,sp
276,sp
277,sp
278,sp
279,sp
280,sp
281,sp
282,sp
283,sp
284,sp
285,sp
286,sp
287,sp
288,sp
289,sp
290,sp
291,sp
292,sp
293,sp
294,sp
295,sp
296,sp
297,sp
298,sp
299,sp
300,sp
301,sp
302,sp
303,sp
304,sp
305,sp
306,sp
307,sp
308,sp
309,sp
310,sp
311,sp
312,sp
313,sp
314,sp
315,sp
316,sp
317,sp
318,sp
319,sp
320,sp
321,sp
322,sp
323,sp
324,sp
325,sp
326,sp
327,sp
328,sp
329,sp
330,sp
331,bt
332,bt
333,bt
334,bt
335,bt
336,bt
337,bt
338,bt
339,bt
340,bt
341,bt
342,bt
343,bt
344,bt
345,bt
346,bt
347,bt
348,bt
349,bt
350,bt
351,bt
352,bt
353,bt
354,bt
355,bt
356,bt
357,bt
358,bt
359,bt
360,bt
