apps,bondmode,time
bt,802.3ad-4NICs-layer2,176.59
is,802.3ad-4NICs-layer2,9.25
bt,802.3ad-4NICs-layer2,176.06
is,802.3ad-4NICs-layer2,9.26
alya,802.3ad-4NICs-layer2,900.71
bt,802.3ad-4NICs-layer2,175.94
alya,802.3ad-4NICs-layer2,904.44
alya,802.3ad-4NICs-layer2,901.83
ft,802.3ad-4NICs-layer2,93.61
sp,802.3ad-4NICs-layer2,195.49
sp,802.3ad-4NICs-layer2,193.02
ft,802.3ad-4NICs-layer2,93.69
alya,802.3ad-4NICs-layer2,901.82
alya,802.3ad-4NICs-layer2,901.58
ft,802.3ad-4NICs-layer2,93.45
bt,802.3ad-4NICs-layer2,176.44
sp,802.3ad-4NICs-layer2,194.92
sp,802.3ad-4NICs-layer2,192.50
bt,802.3ad-4NICs-layer2,176.40
bt,802.3ad-4NICs-layer2,176.01
is,802.3ad-4NICs-layer2,9.26
bt,802.3ad-4NICs-layer2,175.93
is,802.3ad-4NICs-layer2,9.38
bt,802.3ad-4NICs-layer2,175.97
ft,802.3ad-4NICs-layer2,94.33
ft,802.3ad-4NICs-layer2,95.14
bt,802.3ad-4NICs-layer2,176.52
bt,802.3ad-4NICs-layer2,176.01
alya,802.3ad-4NICs-layer2,901.46
ft,802.3ad-4NICs-layer2,94.10
bt,802.3ad-4NICs-layer2,176.54
sp,802.3ad-4NICs-layer2,193.65
is,802.3ad-4NICs-layer2,9.28
ft,802.3ad-4NICs-layer2,93.64
is,802.3ad-4NICs-layer2,9.21
sp,802.3ad-4NICs-layer2,192.58
sp,802.3ad-4NICs-layer2,195.12
ft,802.3ad-4NICs-layer2,93.83
bt,802.3ad-4NICs-layer2,175.51
ft,802.3ad-4NICs-layer2,93.59
bt,802.3ad-4NICs-layer2,176.79
sp,802.3ad-4NICs-layer2,195.80
bt,802.3ad-4NICs-layer2,175.68
alya,802.3ad-4NICs-layer2,902.67
is,802.3ad-4NICs-layer2,9.27
ft,802.3ad-4NICs-layer2,94.14
ft,802.3ad-4NICs-layer2,94.15
is,802.3ad-4NICs-layer2,9.22
ft,802.3ad-4NICs-layer2,93.52
bt,802.3ad-4NICs-layer2,175.94
alya,802.3ad-4NICs-layer2,899.67
ft,802.3ad-4NICs-layer2,94.11
is,802.3ad-4NICs-layer2,9.28
alya,802.3ad-4NICs-layer2,902.48
is,802.3ad-4NICs-layer2,9.29
sp,802.3ad-4NICs-layer2,192.82
alya,802.3ad-4NICs-layer2,903.72
ft,802.3ad-4NICs-layer2,93.70
ft,802.3ad-4NICs-layer2,94.27
sp,802.3ad-4NICs-layer2,194.76
sp,802.3ad-4NICs-layer2,195.16
bt,802.3ad-4NICs-layer2,176.02
alya,802.3ad-4NICs-layer2,901.00
sp,802.3ad-4NICs-layer2,193.38
is,802.3ad-4NICs-layer2,9.15
sp,802.3ad-4NICs-layer2,192.72
is,802.3ad-4NICs-layer2,9.25
bt,802.3ad-4NICs-layer2,177.29
bt,802.3ad-4NICs-layer2,175.92
is,802.3ad-4NICs-layer2,9.16
bt,802.3ad-4NICs-layer2,175.90
ft,802.3ad-4NICs-layer2,93.41
is,802.3ad-4NICs-layer2,9.16
sp,802.3ad-4NICs-layer2,192.81
is,802.3ad-4NICs-layer2,9.21
sp,802.3ad-4NICs-layer2,192.04
alya,802.3ad-4NICs-layer2,899.63
alya,802.3ad-4NICs-layer2,901.65
alya,802.3ad-4NICs-layer2,903.63
alya,802.3ad-4NICs-layer2,902.89
alya,802.3ad-4NICs-layer2,901.64
sp,802.3ad-4NICs-layer2,193.39
alya,802.3ad-4NICs-layer2,899.48
sp,802.3ad-4NICs-layer2,193.77
alya,802.3ad-4NICs-layer2,901.30
is,802.3ad-4NICs-layer2,9.27
sp,802.3ad-4NICs-layer2,196.37
ft,802.3ad-4NICs-layer2,93.85
ft,802.3ad-4NICs-layer2,93.64
ft,802.3ad-4NICs-layer2,93.51
is,802.3ad-4NICs-layer2,9.28
is,802.3ad-4NICs-layer2,9.24
sp,802.3ad-4NICs-layer2,192.67
alya,802.3ad-4NICs-layer2,901.10
is,802.3ad-4NICs-layer2,9.24
ft,802.3ad-4NICs-layer2,93.50
is,802.3ad-4NICs-layer2,9.21
sp,802.3ad-4NICs-layer2,193.08
sp,802.3ad-4NICs-layer2,196.33
ft,802.3ad-4NICs-layer2,93.65
alya,802.3ad-4NICs-layer2,906.52
alya,802.3ad-4NICs-layer2,901.74
bt,802.3ad-4NICs-layer2,176.88
is,802.3ad-4NICs-layer2,9.24
is,802.3ad-4NICs-layer2,9.39
ft,802.3ad-4NICs-layer2,94.11
alya,802.3ad-4NICs-layer2,900.17
bt,802.3ad-4NICs-layer2,176.43
is,802.3ad-4NICs-layer2,9.40
ft,802.3ad-4NICs-layer2,94.34
is,802.3ad-4NICs-layer2,9.32
sp,802.3ad-4NICs-layer2,193.61
sp,802.3ad-4NICs-layer2,192.94
bt,802.3ad-4NICs-layer2,176.46
alya,802.3ad-4NICs-layer2,903.72
alya,802.3ad-4NICs-layer2,902.34
bt,802.3ad-4NICs-layer2,176.05
alya,802.3ad-4NICs-layer2,901.73
ft,802.3ad-4NICs-layer2,93.95
sp,802.3ad-4NICs-layer2,193.64
bt,802.3ad-4NICs-layer2,176.56
is,802.3ad-4NICs-layer2,9.22
bt,802.3ad-4NICs-layer2,176.31
ft,802.3ad-4NICs-layer2,93.91
sp,802.3ad-4NICs-layer2,192.31
ft,802.3ad-4NICs-layer2,93.81
sp,802.3ad-4NICs-layer2,193.57
ft,802.3ad-4NICs-layer2,92.98
is,802.3ad-4NICs-layer2,9.24
bt,802.3ad-4NICs-layer2,176.11
is,802.3ad-4NICs-layer2,9.26
alya,802.3ad-4NICs-layer2,903.80
is,802.3ad-4NICs-layer2,9.27
sp,802.3ad-4NICs-layer2,192.87
bt,802.3ad-4NICs-layer2,175.86
bt,802.3ad-4NICs-layer2,176.11
sp,802.3ad-4NICs-layer2,193.32
bt,802.3ad-4NICs-layer2,175.84
