apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-4NICs-layer2,0,25.34,0.00
intel,802.3ad-4NICs-layer2,1,26.22,0.04
intel,802.3ad-4NICs-layer2,2,26.22,0.08
intel,802.3ad-4NICs-layer2,4,26.26,0.15
intel,802.3ad-4NICs-layer2,8,26.01,0.31
intel,802.3ad-4NICs-layer2,16,26.12,0.61
intel,802.3ad-4NICs-layer2,32,26.41,1.21
intel,802.3ad-4NICs-layer2,64,26.55,2.41
intel,802.3ad-4NICs-layer2,128,26.76,4.78
intel,802.3ad-4NICs-layer2,256,26.77,9.56
intel,802.3ad-4NICs-layer2,512,27.65,18.51
intel,802.3ad-4NICs-layer2,1024,28.67,35.72
intel,802.3ad-4NICs-layer2,2048,31.78,64.44
intel,802.3ad-4NICs-layer2,4096,39.06,104.85
intel,802.3ad-4NICs-layer2,8192,45.81,178.84
intel,802.3ad-4NICs-layer2,16384,68.11,240.55
intel,802.3ad-4NICs-layer2,32768,112.09,292.34
intel,802.3ad-4NICs-layer2,65536,121.87,537.77
intel,802.3ad-4NICs-layer2,131072,165.64,791.29
intel,802.3ad-4NICs-layer2,262144,257.83,1016.74
intel,802.3ad-4NICs-layer2,524288,476.87,1099.43
intel,802.3ad-4NICs-layer2,1048576,869.70,1205.67
intel,802.3ad-4NICs-layer2,2097152,1882.81,1113.84
intel,802.3ad-4NICs-layer2,4194304,3476.31,1206.54
intel,802.3ad-4NICs-layer2,0,26.94,0.00
intel,802.3ad-4NICs-layer2,1,26.92,0.04
intel,802.3ad-4NICs-layer2,2,20.50,0.10
intel,802.3ad-4NICs-layer2,4,19.84,0.20
intel,802.3ad-4NICs-layer2,8,19.88,0.40
intel,802.3ad-4NICs-layer2,16,19.62,0.82
intel,802.3ad-4NICs-layer2,32,19.72,1.62
intel,802.3ad-4NICs-layer2,64,19.63,3.26
intel,802.3ad-4NICs-layer2,128,19.76,6.48
intel,802.3ad-4NICs-layer2,256,20.00,12.80
intel,802.3ad-4NICs-layer2,512,20.51,24.97
intel,802.3ad-4NICs-layer2,1024,28.69,35.69
intel,802.3ad-4NICs-layer2,2048,31.97,64.07
intel,802.3ad-4NICs-layer2,4096,39.16,104.60
intel,802.3ad-4NICs-layer2,8192,45.36,180.58
intel,802.3ad-4NICs-layer2,16384,67.43,243.00
