number,apps
1,bt
2,is
3,bt
4,is
5,alya
6,bt
7,intel
8,alya
9,intel
10,alya
11,ft
12,sp
13,sp
14,ft
15,alya
16,intel
17,alya
18,ft
19,bt
20,sp
21,sp
22,intel
23,bt
24,bt
25,is
26,bt
27,is
28,bt
29,intel
30,ft
31,intel
32,ft
33,intel
34,bt
35,bt
36,alya
37,intel
38,ft
39,bt
40,sp
41,is
42,ft
43,intel
44,is
45,sp
46,sp
47,ft
48,bt
49,intel
50,ft
51,bt
52,sp
53,bt
54,alya
55,is
56,intel
57,ft
58,ft
59,is
60,ft
61,intel
62,intel
63,bt
64,alya
65,ft
66,is
67,alya
68,is
69,sp
70,alya
71,ft
72,ft
73,sp
74,sp
75,bt
76,alya
77,sp
78,is
79,intel
80,sp
81,is
82,bt
83,bt
84,intel
85,is
86,bt
87,ft
88,is
89,sp
90,intel
91,intel
92,is
93,sp
94,alya
95,intel
96,alya
97,intel
98,alya
99,intel
100,alya
101,alya
102,sp
103,alya
104,sp
105,alya
106,is
107,sp
108,ft
109,intel
110,ft
111,ft
112,intel
113,is
114,intel
115,is
116,sp
117,alya
118,is
119,ft
120,intel
121,is
122,sp
123,sp
124,intel
125,ft
126,intel
127,alya
128,intel
129,alya
130,bt
131,is
132,is
133,ft
134,alya
135,bt
136,is
137,ft
138,is
139,sp
140,sp
141,bt
142,alya
143,alya
144,bt
145,alya
146,ft
147,sp
148,intel
149,intel
150,bt
151,is
152,bt
153,ft
154,sp
155,ft
156,sp
157,ft
158,is
159,bt
160,is
161,alya
162,intel
163,is
164,sp
165,bt
166,bt
167,sp
168,bt
169,alya
170,ft
171,alya
172,ft
173,is
174,ft
175,is
176,alya
177,sp
178,bt
179,alya
180,sp

