apps,bondmode,time
sp,Balance_Round_Robin-4NICs-layer2,207.65
is,Balance_Round_Robin-4NICs-layer2,8.15
ft,Balance_Round_Robin-4NICs-layer2,81.21
alya,Balance_Round_Robin-4NICs-layer2,897.82
ft,Balance_Round_Robin-4NICs-layer2,81.90
sp,Balance_Round_Robin-4NICs-layer2,206.49
ft,Balance_Round_Robin-4NICs-layer2,81.79
ft,Balance_Round_Robin-4NICs-layer2,81.16
alya,Balance_Round_Robin-4NICs-layer2,898.37
alya,Balance_Round_Robin-4NICs-layer2,901.09
sp,Balance_Round_Robin-4NICs-layer2,204.99
bt,Balance_Round_Robin-4NICs-layer2,180.07
alya,Balance_Round_Robin-4NICs-layer2,900.36
is,Balance_Round_Robin-4NICs-layer2,7.87
alya,Balance_Round_Robin-4NICs-layer2,900.33
bt,Balance_Round_Robin-4NICs-layer2,180.22
sp,Balance_Round_Robin-4NICs-layer2,205.68
bt,Balance_Round_Robin-4NICs-layer2,182.65
is,Balance_Round_Robin-4NICs-layer2,7.89
is,Balance_Round_Robin-4NICs-layer2,8.46
bt,Balance_Round_Robin-4NICs-layer2,181.21
alya,Balance_Round_Robin-4NICs-layer2,901.85
ft,Balance_Round_Robin-4NICs-layer2,81.17
bt,Balance_Round_Robin-4NICs-layer2,181.77
is,Balance_Round_Robin-4NICs-layer2,8.15
bt,Balance_Round_Robin-4NICs-layer2,180.57
bt,Balance_Round_Robin-4NICs-layer2,179.03
ft,Balance_Round_Robin-4NICs-layer2,81.40
sp,Balance_Round_Robin-4NICs-layer2,204.57
sp,Balance_Round_Robin-4NICs-layer2,202.50
ft,Balance_Round_Robin-4NICs-layer2,80.57
sp,Balance_Round_Robin-4NICs-layer2,202.53
sp,Balance_Round_Robin-4NICs-layer2,204.65
sp,Balance_Round_Robin-4NICs-layer2,202.23
ft,Balance_Round_Robin-4NICs-layer2,81.23
alya,Balance_Round_Robin-4NICs-layer2,901.41
