number,apps
1,sp
2,is
3,ft
4,alya
5,ft
6,sp
7,ft
8,ft
9,alya
10,intel
11,alya
12,sp
13,bt
14,alya
15,is
16,alya
17,intel
18,bt
19,intel
20,sp
21,bt
22,is
23,is
24,bt
25,alya
26,ft
27,bt
28,is
29,bt
30,intel
31,bt
32,ft
33,intel
34,sp
35,sp
36,ft
37,sp
38,sp
39,sp
40,ft
41,alya
42,ft
43,ft
44,bt
45,alya
46,alya
47,is
48,sp
49,bt
50,intel
51,is
52,intel
53,is
54,ft
55,intel
56,bt
57,ft
58,intel
59,sp
60,intel
61,bt
62,bt
63,sp
64,intel
65,sp
66,ft
67,is
68,is
69,is
70,intel
71,is
72,bt
73,bt
74,is
75,alya
76,bt
77,intel
78,bt
79,sp
80,is
81,sp
82,alya
83,is
84,intel
85,alya
86,is
87,intel
88,ft
89,ft
90,sp
91,is
92,is
93,intel
94,intel
95,is
96,sp
97,alya
98,alya
99,ft
100,ft
101,alya
102,bt
103,sp
104,bt
105,alya
106,ft
107,alya
108,sp
109,ft
110,intel
111,sp
112,alya
113,bt
114,ft
115,intel
116,bt
117,sp
118,sp
119,sp
120,sp
121,bt
122,is
123,is
124,ft
125,intel
126,alya
127,is
128,intel
129,is
130,alya
131,ft
132,sp
133,is
134,bt
135,is
136,ft
137,is
138,sp
139,intel
140,bt
141,sp
142,intel
143,is
144,bt
145,bt
146,ft
147,ft
148,intel
149,ft
150,alya
151,ft
152,intel
153,alya
154,is
155,alya
156,bt
157,is
158,ft
159,intel
160,bt
161,intel
162,alya
163,intel
164,alya
165,alya
166,alya
167,is
168,bt
169,ft
170,intel
171,sp
172,alya
173,alya
174,sp
175,ft
176,intel
177,alya
178,bt
179,bt
180,sp

