apps,bondmode,time
alya,Regular-TCP-4NICs,898.61
sp,Regular-TCP-4NICs,216.13
is,Regular-TCP-4NICs,12.05
alya,Regular-TCP-4NICs,895.60
bt,Regular-TCP-4NICs,186.68
is,Regular-TCP-4NICs,11.73
ft,Regular-TCP-4NICs,111.83
alya,Regular-TCP-4NICs,897.22
ft,Regular-TCP-4NICs,112.62
is,Regular-TCP-4NICs,12.00
bt,Regular-TCP-4NICs,187.62
is,Regular-TCP-4NICs,12.05
is,Regular-TCP-4NICs,11.47
bt,Regular-TCP-4NICs,186.98
ft,Regular-TCP-4NICs,111.90
is,Regular-TCP-4NICs,12.09
alya,Regular-TCP-4NICs,895.95
alya,Regular-TCP-4NICs,896.06
sp,Regular-TCP-4NICs,215.94
alya,Regular-TCP-4NICs,900.19
ft,Regular-TCP-4NICs,112.20
bt,Regular-TCP-4NICs,186.67
ft,Regular-TCP-4NICs,112.46
alya,Regular-TCP-4NICs,901.16
bt,Regular-TCP-4NICs,188.47
sp,Regular-TCP-4NICs,216.30
is,Regular-TCP-4NICs,12.20
bt,Regular-TCP-4NICs,187.11
ft,Regular-TCP-4NICs,111.77
sp,Regular-TCP-4NICs,218.49
alya,Regular-TCP-4NICs,897.55
sp,Regular-TCP-4NICs,217.48
is,Regular-TCP-4NICs,12.06
ft,Regular-TCP-4NICs,111.57
bt,Regular-TCP-4NICs,188.88
alya,Regular-TCP-4NICs,899.58
is,Regular-TCP-4NICs,11.95
alya,Regular-TCP-4NICs,897.21
sp,Regular-TCP-4NICs,215.17
sp,Regular-TCP-4NICs,216.53
is,Regular-TCP-4NICs,11.97
sp,Regular-TCP-4NICs,215.95
ft,Regular-TCP-4NICs,112.42
ft,Regular-TCP-4NICs,112.25
ft,Regular-TCP-4NICs,113.23
sp,Regular-TCP-4NICs,216.12
ft,Regular-TCP-4NICs,112.32
ft,Regular-TCP-4NICs,112.84
is,Regular-TCP-4NICs,11.83
ft,Regular-TCP-4NICs,111.54
sp,Regular-TCP-4NICs,218.15
is,Regular-TCP-4NICs,12.17
bt,Regular-TCP-4NICs,187.67
bt,Regular-TCP-4NICs,188.82
is,Regular-TCP-4NICs,11.75
ft,Regular-TCP-4NICs,112.48
bt,Regular-TCP-4NICs,188.68
bt,Regular-TCP-4NICs,187.40
sp,Regular-TCP-4NICs,218.57
ft,Regular-TCP-4NICs,112.77
