apps,bondmode,bytes,time,mbytes-sec
intel,Regular-TCP-4NICs,0,24.94,0.00
intel,Regular-TCP-4NICs,1,25.67,0.04
intel,Regular-TCP-4NICs,2,26.13,0.08
intel,Regular-TCP-4NICs,4,25.85,0.15
intel,Regular-TCP-4NICs,8,26.20,0.31
intel,Regular-TCP-4NICs,16,25.81,0.62
intel,Regular-TCP-4NICs,32,26.48,1.21
intel,Regular-TCP-4NICs,64,26.42,2.42
intel,Regular-TCP-4NICs,128,26.42,4.84
intel,Regular-TCP-4NICs,256,26.62,9.62
intel,Regular-TCP-4NICs,512,28.60,17.90
intel,Regular-TCP-4NICs,1024,28.78,35.59
intel,Regular-TCP-4NICs,2048,31.98,64.05
intel,Regular-TCP-4NICs,4096,39.90,102.65
intel,Regular-TCP-4NICs,8192,46.03,177.96
intel,Regular-TCP-4NICs,16384,69.37,236.18
intel,Regular-TCP-4NICs,32768,54.54,600.77
intel,Regular-TCP-4NICs,65536,112.20,584.09
intel,Regular-TCP-4NICs,131072,164.98,794.49
intel,Regular-TCP-4NICs,262144,256.92,1020.33
intel,Regular-TCP-4NICs,524288,436.06,1202.34
intel,Regular-TCP-4NICs,1048576,779.05,1345.97
intel,Regular-TCP-4NICs,2097152,1628.89,1287.47
intel,Regular-TCP-4NICs,4194304,3517.91,1192.27
intel,Regular-TCP-4NICs,0,25.36,0.00
intel,Regular-TCP-4NICs,1,25.47,0.04
intel,Regular-TCP-4NICs,2,25.60,0.08
intel,Regular-TCP-4NICs,4,25.52,0.16
intel,Regular-TCP-4NICs,8,25.59,0.31
intel,Regular-TCP-4NICs,16,25.98,0.62
intel,Regular-TCP-4NICs,32,26.14,1.22
intel,Regular-TCP-4NICs,64,26.15,2.45
intel,Regular-TCP-4NICs,128,26.87,4.76
intel,Regular-TCP-4NICs,256,26.65,9.61
intel,Regular-TCP-4NICs,512,27.12,18.88
intel,Regular-TCP-4NICs,1024,28.14,36.39
intel,Regular-TCP-4NICs,2048,31.38,65.26
intel,Regular-TCP-4NICs,4096,38.64,106.01
intel,Regular-TCP-4NICs,8192,45.77,178.99
intel,Regular-TCP-4NICs,16384,61.25,267.50
intel,Regular-TCP-4NICs,32768,54.92,596.67
intel,Regular-TCP-4NICs,65536,110.35,593.88
intel,Regular-TCP-4NICs,131072,163.51,801.59
intel,Regular-TCP-4NICs,262144,255.63,1025.47
intel,Regular-TCP-4NICs,524288,432.33,1212.71
intel,Regular-TCP-4NICs,1048576,775.48,1352.16
intel,Regular-TCP-4NICs,2097152,1606.84,1305.14
intel,Regular-TCP-4NICs,4194304,3225.16,1300.49
intel,Regular-TCP-4NICs,0,28.01,0.00
intel,Regular-TCP-4NICs,1,26.17,0.04
intel,Regular-TCP-4NICs,2,26.00,0.08
intel,Regular-TCP-4NICs,4,25.84,0.15
intel,Regular-TCP-4NICs,8,25.97,0.31
intel,Regular-TCP-4NICs,16,25.80,0.62
intel,Regular-TCP-4NICs,32,26.08,1.23
intel,Regular-TCP-4NICs,64,26.29,2.43
intel,Regular-TCP-4NICs,128,26.59,4.81
intel,Regular-TCP-4NICs,256,26.69,9.59
intel,Regular-TCP-4NICs,512,27.29,18.76
intel,Regular-TCP-4NICs,1024,28.51,35.92
intel,Regular-TCP-4NICs,2048,31.46,65.09
intel,Regular-TCP-4NICs,4096,38.77,105.64
intel,Regular-TCP-4NICs,8192,45.08,181.73
intel,Regular-TCP-4NICs,16384,67.86,241.43
intel,Regular-TCP-4NICs,32768,52.86,619.96
intel,Regular-TCP-4NICs,65536,111.49,587.83
intel,Regular-TCP-4NICs,131072,165.19,793.44
intel,Regular-TCP-4NICs,262144,256.70,1021.19
intel,Regular-TCP-4NICs,524288,430.68,1217.35
intel,Regular-TCP-4NICs,1048576,782.68,1339.73
intel,Regular-TCP-4NICs,2097152,1603.74,1307.66
intel,Regular-TCP-4NICs,4194304,3193.84,1313.25
intel,Regular-TCP-4NICs,0,26.66,0.00
intel,Regular-TCP-4NICs,1,26.01,0.04
intel,Regular-TCP-4NICs,2,26.24,0.08
intel,Regular-TCP-4NICs,4,26.21,0.15
intel,Regular-TCP-4NICs,8,26.00,0.31
intel,Regular-TCP-4NICs,16,26.09,0.61
intel,Regular-TCP-4NICs,32,26.18,1.22
intel,Regular-TCP-4NICs,64,26.19,2.44
intel,Regular-TCP-4NICs,128,26.78,4.78
intel,Regular-TCP-4NICs,256,26.70,9.59
intel,Regular-TCP-4NICs,512,27.20,18.83
intel,Regular-TCP-4NICs,1024,28.44,36.00
intel,Regular-TCP-4NICs,2048,31.60,64.81
intel,Regular-TCP-4NICs,4096,39.14,104.65
intel,Regular-TCP-4NICs,8192,45.39,180.47
intel,Regular-TCP-4NICs,16384,67.04,244.39
intel,Regular-TCP-4NICs,32768,110.99,295.23
intel,Regular-TCP-4NICs,65536,110.69,592.09
intel,Regular-TCP-4NICs,131072,163.27,802.78
intel,Regular-TCP-4NICs,262144,258.59,1013.76
intel,Regular-TCP-4NICs,524288,429.77,1219.92
intel,Regular-TCP-4NICs,1048576,866.85,1209.64
intel,Regular-TCP-4NICs,2097152,1642.72,1276.63
intel,Regular-TCP-4NICs,4194304,3233.08,1297.31
intel,Regular-TCP-4NICs,0,25.21,0.00
intel,Regular-TCP-4NICs,1,26.02,0.04
intel,Regular-TCP-4NICs,2,26.00,0.08
intel,Regular-TCP-4NICs,4,25.95,0.15
