number,apps
1,alya
2,sp
3,intel
4,is
5,alya
6,bt
7,is
8,ft
9,intel
10,alya
11,ft
12,is
13,bt
14,is
15,intel
16,is
17,bt
18,intel
19,ft
20,is
21,alya
22,intel
23,intel
24,alya
25,sp
26,alya
27,ft
28,bt
29,intel
30,ft
31,alya
32,intel
33,intel
34,bt
35,sp
36,is
37,bt
38,ft
39,sp
40,alya
41,sp
42,intel
43,is
44,ft
45,intel
46,bt
47,alya
48,is
49,alya
50,sp
51,sp
52,is
53,intel
54,sp
55,ft
56,intel
57,intel
58,intel
59,ft
60,ft
61,sp
62,ft
63,ft
64,is
65,ft
66,sp
67,is
68,bt
69,bt
70,is
71,ft
72,intel
73,bt
74,bt
75,sp
76,intel
77,ft
78,intel
79,bt
80,ft
81,alya
82,is
83,bt
84,is
85,is
86,alya
87,sp
88,alya
89,alya
90,intel
91,is
92,ft
93,alya
94,ft
95,intel
96,sp
97,ft
98,sp
99,alya
100,intel
101,bt
102,is
103,ft
104,bt
105,sp
106,bt
107,alya
108,bt
109,intel
110,alya
111,alya
112,is
113,is
114,alya
115,is
116,bt
117,bt
118,ft
119,ft
120,sp
121,sp
122,alya
123,bt
124,is
125,sp
126,bt
127,sp
128,bt
129,alya
130,is
131,is
132,alya
133,sp
134,ft
135,intel
136,ft
137,bt
138,sp
139,intel
140,is
141,sp
142,intel
143,alya
144,sp
145,bt
146,ft
147,bt
148,is
149,ft
150,sp
151,alya
152,bt
153,ft
154,sp
155,is
156,ft
157,sp
158,ft
159,alya
160,alya
161,is
162,ft
163,bt
164,is
165,intel
166,sp
167,intel
168,bt
169,bt
170,alya
171,sp
172,alya
173,intel
174,bt
175,sp
176,intel
177,intel
178,is
179,sp
180,alya

