apps,process,bondmode,time
is,16,802.3ad-2NICs-layer2-4,35.28
is,16,802.3ad-2NICs-layer2-4,35.15
is,16,802.3ad-2NICs-layer2-4,33.69
is,16,802.3ad-2NICs-layer2-4,34.85
is,16,802.3ad-2NICs-layer2-4,34.24
is,16,802.3ad-2NICs-layer2-4,34.24
is,16,802.3ad-2NICs-layer2-4,33.26
is,16,802.3ad-2NICs-layer2-4,33.63
is,16,802.3ad-2NICs-layer2-4,34.39
is,16,802.3ad-2NICs-layer2-4,31.96
ft,16,802.3ad-2NICs-layer2-4,297.06
ft,16,802.3ad-2NICs-layer2-4,288.69
ft,16,802.3ad-2NICs-layer2-4,311.5
ft,16,802.3ad-2NICs-layer2-4,323.19
ft,16,802.3ad-2NICs-layer2-4,310.52
ft,16,802.3ad-2NICs-layer2-4,289.3
ft,16,802.3ad-2NICs-layer2-4,323.09
ft,16,802.3ad-2NICs-layer2-4,302.24
ft,16,802.3ad-2NICs-layer2-4,292.39
ft,16,802.3ad-2NICs-layer2-4,305.75
is,16,802.3ad-2NICs-layer2-4,37.59
is,16,802.3ad-2NICs-layer2-4,37.34
is,16,802.3ad-2NICs-layer2-4,36.05
is,16,802.3ad-2NICs-layer2-4,35.68
is,16,802.3ad-2NICs-layer2-4,37.07
is,16,802.3ad-2NICs-layer2-4,33.78
is,16,802.3ad-2NICs-layer2-4,33.25
is,16,802.3ad-2NICs-layer2-4,33.77
is,16,802.3ad-2NICs-layer2-4,38.46
is,16,802.3ad-2NICs-layer2-4,39.95
ft,16,802.3ad-2NICs-layer2-4,276.06
ft,16,802.3ad-2NICs-layer2-4,269.39
ft,16,802.3ad-2NICs-layer2-4,270.14
ft,16,802.3ad-2NICs-layer2-4,265.48
ft,16,802.3ad-2NICs-layer2-4,267.04
ft,16,802.3ad-2NICs-layer2-4,262.43
ft,16,802.3ad-2NICs-layer2-4,277.6
ft,16,802.3ad-2NICs-layer2-4,271.77
ft,16,802.3ad-2NICs-layer2-4,274.1
ft,16,802.3ad-2NICs-layer2-4,265.35
bt,16,802.3ad-2NICs-layer2-4,446.68
bt,16,802.3ad-2NICs-layer2-4,448.7
bt,16,802.3ad-2NICs-layer2-4,444.74
