apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2-1,436.11
bt,16,802.3ad-4NICs-layer2-1,241.57
bt,16,802.3ad-4NICs-layer2-1,406.42
bt,16,802.3ad-4NICs-layer2-1,175.36
bt,16,802.3ad-4NICs-layer2-1,659.78
bt,16,802.3ad-4NICs-layer2-1,176.41
bt,16,802.3ad-4NICs-layer2-1,175.7
bt,16,802.3ad-4NICs-layer2-1,259.06
bt,16,802.3ad-4NICs-layer2-1,253.15
bt,16,802.3ad-4NICs-layer2-1,176.32
bt,16,802.3ad-4NICs-layer2-1,176
bt,16,802.3ad-4NICs-layer2-1,176.31
bt,16,802.3ad-4NICs-layer2-1,175.77
bt,16,802.3ad-4NICs-layer2-1,454.81
bt,16,802.3ad-4NICs-layer2-1,177.72
bt,16,802.3ad-4NICs-layer2-1,175.85
bt,16,802.3ad-4NICs-layer2-1,176.14
bt,16,802.3ad-4NICs-layer2-1,364.14
bt,16,802.3ad-4NICs-layer2-1,185.59
bt,16,802.3ad-4NICs-layer2-1,176.26
bt,16,802.3ad-4NICs-layer2-1,176.67
bt,16,802.3ad-4NICs-layer2-1,175.89
bt,16,802.3ad-4NICs-layer2-1,796.37
bt,16,802.3ad-4NICs-layer2-1,176.04
bt,16,802.3ad-4NICs-layer2-1,176.27
bt,16,802.3ad-4NICs-layer2-1,409.28
bt,16,802.3ad-4NICs-layer2-1,340.43
bt,16,802.3ad-4NICs-layer2-1,176.84
bt,16,802.3ad-4NICs-layer2-1,505.77
bt,16,802.3ad-4NICs-layer2-1,700.1
