apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2,287.97
bt,64,802.3ad-4NICs-layer2,251.40
bt,64,802.3ad-4NICs-layer2,291.56
bt,64,802.3ad-4NICs-layer2,256.70
bt,64,802.3ad-4NICs-layer2,258.26
bt,64,802.3ad-4NICs-layer2,268.30
bt,64,802.3ad-4NICs-layer2,274.87
bt,64,802.3ad-4NICs-layer2,260.62
bt,64,802.3ad-4NICs-layer2,280.85
bt,64,802.3ad-4NICs-layer2,280.01
bt,64,802.3ad-4NICs-layer2,260.45
bt,64,802.3ad-4NICs-layer2,260.27
bt,64,802.3ad-4NICs-layer2,266.91
bt,64,802.3ad-4NICs-layer2,264.47
bt,64,802.3ad-4NICs-layer2,271.68
bt,64,802.3ad-4NICs-layer2,266.34
bt,64,802.3ad-4NICs-layer2,236.17
bt,64,802.3ad-4NICs-layer2,288.25
bt,64,802.3ad-4NICs-layer2,279.43
bt,64,802.3ad-4NICs-layer2,271.08
bt,64,802.3ad-4NICs-layer2,255.07
bt,64,802.3ad-4NICs-layer2,251.15
bt,64,802.3ad-4NICs-layer2,260.40
bt,64,802.3ad-4NICs-layer2,267.71
bt,64,802.3ad-4NICs-layer2,270.21
bt,64,802.3ad-4NICs-layer2,238.50
bt,64,802.3ad-4NICs-layer2,257.64
bt,64,802.3ad-4NICs-layer2,252.81
bt,64,802.3ad-4NICs-layer2,250.02
bt,64,802.3ad-4NICs-layer2,278.48
