apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,208.14
bt,16,802.3ad-4NICs-layer2,314.42
bt,16,802.3ad-4NICs-layer2,530.15
bt,16,802.3ad-4NICs-layer2,175.96
bt,16,802.3ad-4NICs-layer2,176.47
bt,16,802.3ad-4NICs-layer2,176.46
bt,16,802.3ad-4NICs-layer2,225.56
bt,16,802.3ad-4NICs-layer2,176.63
bt,16,802.3ad-4NICs-layer2,335.95
bt,16,802.3ad-4NICs-layer2,183.03
bt,16,802.3ad-4NICs-layer2,176.11
bt,16,802.3ad-4NICs-layer2,175.45
bt,16,802.3ad-4NICs-layer2,176.75
bt,16,802.3ad-4NICs-layer2,176.68
bt,16,802.3ad-4NICs-layer2,176.13
bt,16,802.3ad-4NICs-layer2,176.04
bt,16,802.3ad-4NICs-layer2,616.90
bt,16,802.3ad-4NICs-layer2,176.19
bt,16,802.3ad-4NICs-layer2,176.02
bt,16,802.3ad-4NICs-layer2,580.31
bt,16,802.3ad-4NICs-layer2,176.48
bt,16,802.3ad-4NICs-layer2,203.26
bt,16,802.3ad-4NICs-layer2,176.28
bt,16,802.3ad-4NICs-layer2,175.30
bt,16,802.3ad-4NICs-layer2,176.69
bt,16,802.3ad-4NICs-layer2,327.68
bt,16,802.3ad-4NICs-layer2,175.52
bt,16,802.3ad-4NICs-layer2,176.00
bt,16,802.3ad-4NICs-layer2,244.30
bt,16,802.3ad-4NICs-layer2,176.69
