apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,176.91
bt,16,802.3ad-4NICs-layer2,202.02
bt,16,802.3ad-4NICs-layer2,176.11
bt,16,802.3ad-4NICs-layer2,175.77
bt,16,802.3ad-4NICs-layer2,410.27
bt,16,802.3ad-4NICs-layer2,185.37
bt,16,802.3ad-4NICs-layer2,175.93
bt,16,802.3ad-4NICs-layer2,316.42
bt,16,802.3ad-4NICs-layer2,176.75
bt,16,802.3ad-4NICs-layer2,176.07
bt,16,802.3ad-4NICs-layer2,176.09
bt,16,802.3ad-4NICs-layer2,176.06
bt,16,802.3ad-4NICs-layer2,176.07
bt,16,802.3ad-4NICs-layer2,437.75
bt,16,802.3ad-4NICs-layer2,441.59
bt,16,802.3ad-4NICs-layer2,175.91
bt,16,802.3ad-4NICs-layer2,176.88
bt,16,802.3ad-4NICs-layer2,176.07
bt,16,802.3ad-4NICs-layer2,295.69
bt,16,802.3ad-4NICs-layer2,343.10
bt,16,802.3ad-4NICs-layer2,319.35
bt,16,802.3ad-4NICs-layer2,212.87
bt,16,802.3ad-4NICs-layer2,176.49
bt,16,802.3ad-4NICs-layer2,444.49
bt,16,802.3ad-4NICs-layer2,652.15
bt,16,802.3ad-4NICs-layer2,731.00
bt,16,802.3ad-4NICs-layer2,432.03
bt,16,802.3ad-4NICs-layer2,259.22
bt,16,802.3ad-4NICs-layer2,438.34
bt,16,802.3ad-4NICs-layer2,227.69
