apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2-1,277.26
bt,64,802.3ad-4NICs-layer2-1,295.84
bt,64,802.3ad-4NICs-layer2-1,269.61
bt,64,802.3ad-4NICs-layer2-1,257.25
bt,64,802.3ad-4NICs-layer2-1,262.39
bt,64,802.3ad-4NICs-layer2-1,247.7
bt,64,802.3ad-4NICs-layer2-1,264.69
bt,64,802.3ad-4NICs-layer2-1,265.91
bt,64,802.3ad-4NICs-layer2-1,264.6
bt,64,802.3ad-4NICs-layer2-1,276.51
bt,64,802.3ad-4NICs-layer2-1,289.03
bt,64,802.3ad-4NICs-layer2-1,248.27
bt,64,802.3ad-4NICs-layer2-1,264.19
bt,64,802.3ad-4NICs-layer2-1,297.48
bt,64,802.3ad-4NICs-layer2-1,259.26
bt,64,802.3ad-4NICs-layer2-1,287.91
bt,64,802.3ad-4NICs-layer2-1,265.28
bt,64,802.3ad-4NICs-layer2-1,277.94
bt,64,802.3ad-4NICs-layer2-1,247.17
bt,64,802.3ad-4NICs-layer2-1,290.25
bt,64,802.3ad-4NICs-layer2-1,278.04
bt,64,802.3ad-4NICs-layer2-1,292.39
bt,64,802.3ad-4NICs-layer2-1,278.39
bt,64,802.3ad-4NICs-layer2-1,296.92
bt,64,802.3ad-4NICs-layer2-1,263.53
bt,64,802.3ad-4NICs-layer2-1,237.42
bt,64,802.3ad-4NICs-layer2-1,259.01
bt,64,802.3ad-4NICs-layer2-1,291.25
bt,64,802.3ad-4NICs-layer2-1,267.44
bt,64,802.3ad-4NICs-layer2-1,241.87
