apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,175.91
bt,16,802.3ad-4NICs-layer2,341.92
bt,16,802.3ad-4NICs-layer2,393.54
bt,16,802.3ad-4NICs-layer2,176.24
bt,16,802.3ad-4NICs-layer2,352.92
bt,16,802.3ad-4NICs-layer2,340.70
bt,16,802.3ad-4NICs-layer2,176.53
bt,16,802.3ad-4NICs-layer2,517.32
bt,16,802.3ad-4NICs-layer2,175.33
bt,16,802.3ad-4NICs-layer2,176.10
bt,16,802.3ad-4NICs-layer2,443.80
bt,16,802.3ad-4NICs-layer2,276.15
bt,16,802.3ad-4NICs-layer2,176.02
bt,16,802.3ad-4NICs-layer2,175.68
bt,16,802.3ad-4NICs-layer2,516.06
bt,16,802.3ad-4NICs-layer2,523.70
bt,16,802.3ad-4NICs-layer2,246.33
bt,16,802.3ad-4NICs-layer2,175.82
bt,16,802.3ad-4NICs-layer2,176.14
bt,16,802.3ad-4NICs-layer2,224.81
bt,16,802.3ad-4NICs-layer2,176.21
bt,16,802.3ad-4NICs-layer2,176.26
bt,16,802.3ad-4NICs-layer2,176.38
bt,16,802.3ad-4NICs-layer2,396.43
bt,16,802.3ad-4NICs-layer2,176.48
bt,16,802.3ad-4NICs-layer2,176.08
bt,16,802.3ad-4NICs-layer2,363.21
bt,16,802.3ad-4NICs-layer2,401.60
bt,16,802.3ad-4NICs-layer2,176.43
bt,16,802.3ad-4NICs-layer2,176.19
