apps,process,bondmode,time
ft,64,802.3ad-4NICs-layer2,105.63
ft,64,802.3ad-4NICs-layer2,101.05
ft,64,802.3ad-4NICs-layer2,101.39
ft,64,802.3ad-4NICs-layer2,100.50
ft,64,802.3ad-4NICs-layer2,99.84
ft,64,802.3ad-4NICs-layer2,110.83
ft,64,802.3ad-4NICs-layer2,110.72
ft,64,802.3ad-4NICs-layer2,98.89
ft,64,802.3ad-4NICs-layer2,103.17
ft,64,802.3ad-4NICs-layer2,93.06
ft,64,802.3ad-4NICs-layer2,104.18
ft,64,802.3ad-4NICs-layer2,105.11
ft,64,802.3ad-4NICs-layer2,98.29
ft,64,802.3ad-4NICs-layer2,105.21
ft,64,802.3ad-4NICs-layer2,116.25
ft,64,802.3ad-4NICs-layer2,105.49
ft,64,802.3ad-4NICs-layer2,106.27
ft,64,802.3ad-4NICs-layer2,111.29
ft,64,802.3ad-4NICs-layer2,99.35
ft,64,802.3ad-4NICs-layer2,92.18
ft,64,802.3ad-4NICs-layer2,105.76
ft,64,802.3ad-4NICs-layer2,118.62
ft,64,802.3ad-4NICs-layer2,93.06
ft,64,802.3ad-4NICs-layer2,98.99
ft,64,802.3ad-4NICs-layer2,99.50
ft,64,802.3ad-4NICs-layer2,94.14
ft,64,802.3ad-4NICs-layer2,107.14
ft,64,802.3ad-4NICs-layer2,96.90
ft,64,802.3ad-4NICs-layer2,110.80
ft,64,802.3ad-4NICs-layer2,115.31
