apps,process,bondmode,time
ft,64,802.3ad-4NICs-layer2-1,99.66
ft,64,802.3ad-4NICs-layer2-1,114.2
ft,64,802.3ad-4NICs-layer2-1,97.26
ft,64,802.3ad-4NICs-layer2-1,120.04
ft,64,802.3ad-4NICs-layer2-1,105.83
ft,64,802.3ad-4NICs-layer2-1,118.74
ft,64,802.3ad-4NICs-layer2-1,100.62
ft,64,802.3ad-4NICs-layer2-1,100.19
ft,64,802.3ad-4NICs-layer2-1,95.81
ft,64,802.3ad-4NICs-layer2-1,100.81
ft,64,802.3ad-4NICs-layer2-1,117.03
ft,64,802.3ad-4NICs-layer2-1,120.56
ft,64,802.3ad-4NICs-layer2-1,105.03
ft,64,802.3ad-4NICs-layer2-1,101.45
ft,64,802.3ad-4NICs-layer2-1,102.79
ft,64,802.3ad-4NICs-layer2-1,96.95
ft,64,802.3ad-4NICs-layer2-1,100.76
ft,64,802.3ad-4NICs-layer2-1,102.26
ft,64,802.3ad-4NICs-layer2-1,114.13
ft,64,802.3ad-4NICs-layer2-1,97.23
ft,64,802.3ad-4NICs-layer2-1,102.65
ft,64,802.3ad-4NICs-layer2-1,93.06
ft,64,802.3ad-4NICs-layer2-1,106.74
ft,64,802.3ad-4NICs-layer2-1,103.84
ft,64,802.3ad-4NICs-layer2-1,99.21
ft,64,802.3ad-4NICs-layer2-1,99.58
ft,64,802.3ad-4NICs-layer2-1,98.23
ft,64,802.3ad-4NICs-layer2-1,96.36
ft,64,802.3ad-4NICs-layer2-1,107.48
ft,64,802.3ad-4NICs-layer2-1,95.47
