apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2,94.38
ft,16,802.3ad-4NICs-layer2,93.92
ft,16,802.3ad-4NICs-layer2,148.06
ft,16,802.3ad-4NICs-layer2,94.13
ft,16,802.3ad-4NICs-layer2,187.53
ft,16,802.3ad-4NICs-layer2,102.32
ft,16,802.3ad-4NICs-layer2,94.32
ft,16,802.3ad-4NICs-layer2,194.66
ft,16,802.3ad-4NICs-layer2,94.22
ft,16,802.3ad-4NICs-layer2,94.26
ft,16,802.3ad-4NICs-layer2,242.21
ft,16,802.3ad-4NICs-layer2,129.41
ft,16,802.3ad-4NICs-layer2,122.75
ft,16,802.3ad-4NICs-layer2,93.48
ft,16,802.3ad-4NICs-layer2,93.91
ft,16,802.3ad-4NICs-layer2,241.46
ft,16,802.3ad-4NICs-layer2,94.18
ft,16,802.3ad-4NICs-layer2,93.93
ft,16,802.3ad-4NICs-layer2,233.64
ft,16,802.3ad-4NICs-layer2,121.78
ft,16,802.3ad-4NICs-layer2,195.12
ft,16,802.3ad-4NICs-layer2,174.93
ft,16,802.3ad-4NICs-layer2,128.81
ft,16,802.3ad-4NICs-layer2,93.68
ft,16,802.3ad-4NICs-layer2,94.63
ft,16,802.3ad-4NICs-layer2,155.60
ft,16,802.3ad-4NICs-layer2,222.43
ft,16,802.3ad-4NICs-layer2,93.78
ft,16,802.3ad-4NICs-layer2,104.89
ft,16,802.3ad-4NICs-layer2,93.40
