apps,process,bondmode,time
ft,64,802.3ad-4NICs-layer2,99.66
ft,64,802.3ad-4NICs-layer2,114.20
ft,64,802.3ad-4NICs-layer2,97.26
ft,64,802.3ad-4NICs-layer2,120.04
ft,64,802.3ad-4NICs-layer2,105.83
ft,64,802.3ad-4NICs-layer2,118.74
ft,64,802.3ad-4NICs-layer2,100.62
ft,64,802.3ad-4NICs-layer2,100.19
ft,64,802.3ad-4NICs-layer2,95.81
ft,64,802.3ad-4NICs-layer2,100.81
ft,64,802.3ad-4NICs-layer2,117.03
ft,64,802.3ad-4NICs-layer2,120.56
ft,64,802.3ad-4NICs-layer2,105.03
ft,64,802.3ad-4NICs-layer2,101.45
ft,64,802.3ad-4NICs-layer2,102.79
ft,64,802.3ad-4NICs-layer2,96.95
ft,64,802.3ad-4NICs-layer2,100.76
ft,64,802.3ad-4NICs-layer2,102.26
ft,64,802.3ad-4NICs-layer2,114.13
ft,64,802.3ad-4NICs-layer2,97.23
ft,64,802.3ad-4NICs-layer2,102.65
ft,64,802.3ad-4NICs-layer2,93.06
ft,64,802.3ad-4NICs-layer2,106.74
ft,64,802.3ad-4NICs-layer2,103.84
ft,64,802.3ad-4NICs-layer2,99.21
ft,64,802.3ad-4NICs-layer2,99.58
ft,64,802.3ad-4NICs-layer2,98.23
ft,64,802.3ad-4NICs-layer2,96.36
ft,64,802.3ad-4NICs-layer2,107.48
ft,64,802.3ad-4NICs-layer2,95.47
