apps,process,bondmode,time
is,64,802.3ad-4NICs-layer2-1,15.23
is,64,802.3ad-4NICs-layer2-1,15.5
is,64,802.3ad-4NICs-layer2-1,14.86
is,64,802.3ad-4NICs-layer2-1,14.82
is,64,802.3ad-4NICs-layer2-1,14.51
is,64,802.3ad-4NICs-layer2-1,15.01
is,64,802.3ad-4NICs-layer2-1,14.92
is,64,802.3ad-4NICs-layer2-1,14.7
is,64,802.3ad-4NICs-layer2-1,14.88
is,64,802.3ad-4NICs-layer2-1,14.83
is,64,802.3ad-4NICs-layer2-1,16.05
is,64,802.3ad-4NICs-layer2-1,14.63
is,64,802.3ad-4NICs-layer2-1,16.16
is,64,802.3ad-4NICs-layer2-1,14.9
is,64,802.3ad-4NICs-layer2-1,15.19
is,64,802.3ad-4NICs-layer2-1,15.63
is,64,802.3ad-4NICs-layer2-1,16.76
is,64,802.3ad-4NICs-layer2-1,15.1
is,64,802.3ad-4NICs-layer2-1,15.26
is,64,802.3ad-4NICs-layer2-1,15.17
is,64,802.3ad-4NICs-layer2-1,17.11
is,64,802.3ad-4NICs-layer2-1,15.12
is,64,802.3ad-4NICs-layer2-1,15.79
is,64,802.3ad-4NICs-layer2-1,15.34
is,64,802.3ad-4NICs-layer2-1,15.94
is,64,802.3ad-4NICs-layer2-1,15.46
is,64,802.3ad-4NICs-layer2-1,14.76
is,64,802.3ad-4NICs-layer2-1,15.18
is,64,802.3ad-4NICs-layer2-1,15.05
is,64,802.3ad-4NICs-layer2-1,15.12
