apps,process,bondmode,time
is,64,802.3ad-4NICs-layer2,15.23
is,64,802.3ad-4NICs-layer2,15.50
is,64,802.3ad-4NICs-layer2,14.86
is,64,802.3ad-4NICs-layer2,14.82
is,64,802.3ad-4NICs-layer2,14.51
is,64,802.3ad-4NICs-layer2,15.01
is,64,802.3ad-4NICs-layer2,14.92
is,64,802.3ad-4NICs-layer2,14.70
is,64,802.3ad-4NICs-layer2,14.88
is,64,802.3ad-4NICs-layer2,14.83
is,64,802.3ad-4NICs-layer2,16.05
is,64,802.3ad-4NICs-layer2,14.63
is,64,802.3ad-4NICs-layer2,16.16
is,64,802.3ad-4NICs-layer2,14.90
is,64,802.3ad-4NICs-layer2,15.19
is,64,802.3ad-4NICs-layer2,15.63
is,64,802.3ad-4NICs-layer2,16.76
is,64,802.3ad-4NICs-layer2,15.10
is,64,802.3ad-4NICs-layer2,15.26
is,64,802.3ad-4NICs-layer2,15.17
is,64,802.3ad-4NICs-layer2,17.11
is,64,802.3ad-4NICs-layer2,15.12
is,64,802.3ad-4NICs-layer2,15.79
is,64,802.3ad-4NICs-layer2,15.34
is,64,802.3ad-4NICs-layer2,15.94
is,64,802.3ad-4NICs-layer2,15.46
is,64,802.3ad-4NICs-layer2,14.76
is,64,802.3ad-4NICs-layer2,15.18
is,64,802.3ad-4NICs-layer2,15.05
is,64,802.3ad-4NICs-layer2,15.12
