apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2-1,9.22
is,16,802.3ad-4NICs-layer2-1,9.25
is,16,802.3ad-4NICs-layer2-1,16.82
is,16,802.3ad-4NICs-layer2-1,9.22
is,16,802.3ad-4NICs-layer2-1,9.25
is,16,802.3ad-4NICs-layer2-1,9.22
is,16,802.3ad-4NICs-layer2-1,9.25
is,16,802.3ad-4NICs-layer2-1,16.73
is,16,802.3ad-4NICs-layer2-1,16.68
is,16,802.3ad-4NICs-layer2-1,9.3
is,16,802.3ad-4NICs-layer2-1,11.68
is,16,802.3ad-4NICs-layer2-1,16.67
is,16,802.3ad-4NICs-layer2-1,9.31
is,16,802.3ad-4NICs-layer2-1,9.17
is,16,802.3ad-4NICs-layer2-1,9.22
is,16,802.3ad-4NICs-layer2-1,14.13
is,16,802.3ad-4NICs-layer2-1,9.24
is,16,802.3ad-4NICs-layer2-1,16.78
is,16,802.3ad-4NICs-layer2-1,16.74
is,16,802.3ad-4NICs-layer2-1,16.64
is,16,802.3ad-4NICs-layer2-1,9.2
is,16,802.3ad-4NICs-layer2-1,9.38
is,16,802.3ad-4NICs-layer2-1,9.27
is,16,802.3ad-4NICs-layer2-1,9.43
is,16,802.3ad-4NICs-layer2-1,9.19
is,16,802.3ad-4NICs-layer2-1,9.3
is,16,802.3ad-4NICs-layer2-1,9.44
is,16,802.3ad-4NICs-layer2-1,16.74
is,16,802.3ad-4NICs-layer2-1,9.22
is,16,802.3ad-4NICs-layer2-1,9.44
