apps,process,bondmode,time
is,64,802.3ad-4NICs-layer2,15.63
is,64,802.3ad-4NICs-layer2,16.00
is,64,802.3ad-4NICs-layer2,17.31
is,64,802.3ad-4NICs-layer2,15.00
is,64,802.3ad-4NICs-layer2,15.32
is,64,802.3ad-4NICs-layer2,15.22
is,64,802.3ad-4NICs-layer2,15.07
is,64,802.3ad-4NICs-layer2,15.17
is,64,802.3ad-4NICs-layer2,14.33
is,64,802.3ad-4NICs-layer2,15.33
is,64,802.3ad-4NICs-layer2,15.67
is,64,802.3ad-4NICs-layer2,14.86
is,64,802.3ad-4NICs-layer2,15.02
is,64,802.3ad-4NICs-layer2,14.70
is,64,802.3ad-4NICs-layer2,14.69
is,64,802.3ad-4NICs-layer2,15.10
is,64,802.3ad-4NICs-layer2,15.16
is,64,802.3ad-4NICs-layer2,14.68
is,64,802.3ad-4NICs-layer2,15.59
is,64,802.3ad-4NICs-layer2,15.60
is,64,802.3ad-4NICs-layer2,15.07
is,64,802.3ad-4NICs-layer2,15.46
is,64,802.3ad-4NICs-layer2,15.80
is,64,802.3ad-4NICs-layer2,15.28
is,64,802.3ad-4NICs-layer2,15.31
is,64,802.3ad-4NICs-layer2,15.23
is,64,802.3ad-4NICs-layer2,15.35
is,64,802.3ad-4NICs-layer2,15.77
is,64,802.3ad-4NICs-layer2,14.76
is,64,802.3ad-4NICs-layer2,14.59
