apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2-1,193.58
sp,16,802.3ad-4NICs-layer2-1,237.1
sp,16,802.3ad-4NICs-layer2-1,294.2
sp,16,802.3ad-4NICs-layer2-1,192.89
sp,16,802.3ad-4NICs-layer2-1,242.3
sp,16,802.3ad-4NICs-layer2-1,563.03
sp,16,802.3ad-4NICs-layer2-1,192.61
sp,16,802.3ad-4NICs-layer2-1,217.77
sp,16,802.3ad-4NICs-layer2-1,239.71
sp,16,802.3ad-4NICs-layer2-1,381.39
sp,16,802.3ad-4NICs-layer2-1,193.45
sp,16,802.3ad-4NICs-layer2-1,323.53
sp,16,802.3ad-4NICs-layer2-1,193.48
sp,16,802.3ad-4NICs-layer2-1,403.34
sp,16,802.3ad-4NICs-layer2-1,311.13
sp,16,802.3ad-4NICs-layer2-1,192.29
sp,16,802.3ad-4NICs-layer2-1,372.8
sp,16,802.3ad-4NICs-layer2-1,303.06
sp,16,802.3ad-4NICs-layer2-1,365.05
sp,16,802.3ad-4NICs-layer2-1,225.97
sp,16,802.3ad-4NICs-layer2-1,193.38
sp,16,802.3ad-4NICs-layer2-1,193.44
sp,16,802.3ad-4NICs-layer2-1,192.21
sp,16,802.3ad-4NICs-layer2-1,193.49
sp,16,802.3ad-4NICs-layer2-1,645.03
sp,16,802.3ad-4NICs-layer2-1,338.41
sp,16,802.3ad-4NICs-layer2-1,192.63
sp,16,802.3ad-4NICs-layer2-1,193.68
sp,16,802.3ad-4NICs-layer2-1,193.21
sp,16,802.3ad-4NICs-layer2-1,208.58
