apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,193.58
sp,16,802.3ad-4NICs-layer2,237.10
sp,16,802.3ad-4NICs-layer2,294.20
sp,16,802.3ad-4NICs-layer2,192.89
sp,16,802.3ad-4NICs-layer2,242.30
sp,16,802.3ad-4NICs-layer2,563.03
sp,16,802.3ad-4NICs-layer2,192.61
sp,16,802.3ad-4NICs-layer2,217.77
sp,16,802.3ad-4NICs-layer2,239.71
sp,16,802.3ad-4NICs-layer2,381.39
sp,16,802.3ad-4NICs-layer2,193.45
sp,16,802.3ad-4NICs-layer2,323.53
sp,16,802.3ad-4NICs-layer2,193.48
sp,16,802.3ad-4NICs-layer2,403.34
sp,16,802.3ad-4NICs-layer2,311.13
sp,16,802.3ad-4NICs-layer2,192.29
sp,16,802.3ad-4NICs-layer2,372.80
sp,16,802.3ad-4NICs-layer2,303.06
sp,16,802.3ad-4NICs-layer2,365.05
sp,16,802.3ad-4NICs-layer2,225.97
sp,16,802.3ad-4NICs-layer2,193.38
sp,16,802.3ad-4NICs-layer2,193.44
sp,16,802.3ad-4NICs-layer2,192.21
sp,16,802.3ad-4NICs-layer2,193.49
sp,16,802.3ad-4NICs-layer2,645.03
sp,16,802.3ad-4NICs-layer2,338.41
sp,16,802.3ad-4NICs-layer2,192.63
sp,16,802.3ad-4NICs-layer2,193.68
sp,16,802.3ad-4NICs-layer2,193.21
sp,16,802.3ad-4NICs-layer2,208.58
