apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2-1,315.88
sp,64,802.3ad-4NICs-layer2-1,328.87
sp,64,802.3ad-4NICs-layer2-1,321.16
sp,64,802.3ad-4NICs-layer2-1,326.72
sp,64,802.3ad-4NICs-layer2-1,306.11
sp,64,802.3ad-4NICs-layer2-1,323.05
sp,64,802.3ad-4NICs-layer2-1,326.18
sp,64,802.3ad-4NICs-layer2-1,315.97
sp,64,802.3ad-4NICs-layer2-1,312.85
sp,64,802.3ad-4NICs-layer2-1,300.21
sp,64,802.3ad-4NICs-layer2-1,337.09
sp,64,802.3ad-4NICs-layer2-1,308.53
sp,64,802.3ad-4NICs-layer2-1,315.16
sp,64,802.3ad-4NICs-layer2-1,325.76
sp,64,802.3ad-4NICs-layer2-1,317.75
sp,64,802.3ad-4NICs-layer2-1,309.01
sp,64,802.3ad-4NICs-layer2-1,315.69
sp,64,802.3ad-4NICs-layer2-1,331.21
sp,64,802.3ad-4NICs-layer2-1,313.05
sp,64,802.3ad-4NICs-layer2-1,332.11
sp,64,802.3ad-4NICs-layer2-1,329.94
sp,64,802.3ad-4NICs-layer2-1,308.75
sp,64,802.3ad-4NICs-layer2-1,326.65
sp,64,802.3ad-4NICs-layer2-1,308.27
sp,64,802.3ad-4NICs-layer2-1,313.19
sp,64,802.3ad-4NICs-layer2-1,319.43
sp,64,802.3ad-4NICs-layer2-1,317.74
sp,64,802.3ad-4NICs-layer2-1,321.35
sp,64,802.3ad-4NICs-layer2-1,303.87
sp,64,802.3ad-4NICs-layer2-1,307.3
