apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2-1,330.83
sp,16,802.3ad-4NICs-layer2-1,192.25
sp,16,802.3ad-4NICs-layer2-1,465.77
sp,16,802.3ad-4NICs-layer2-1,192.94
sp,16,802.3ad-4NICs-layer2-1,411.41
sp,16,802.3ad-4NICs-layer2-1,193.14
sp,16,802.3ad-4NICs-layer2-1,193.35
sp,16,802.3ad-4NICs-layer2-1,193.32
sp,16,802.3ad-4NICs-layer2-1,193.81
sp,16,802.3ad-4NICs-layer2-1,453.44
sp,16,802.3ad-4NICs-layer2-1,600.34
sp,16,802.3ad-4NICs-layer2-1,193.27
sp,16,802.3ad-4NICs-layer2-1,364.05
sp,16,802.3ad-4NICs-layer2-1,220.27
sp,16,802.3ad-4NICs-layer2-1,320.14
sp,16,802.3ad-4NICs-layer2-1,193.73
sp,16,802.3ad-4NICs-layer2-1,269.84
sp,16,802.3ad-4NICs-layer2-1,192.91
sp,16,802.3ad-4NICs-layer2-1,402.41
sp,16,802.3ad-4NICs-layer2-1,416.52
sp,16,802.3ad-4NICs-layer2-1,424.78
sp,16,802.3ad-4NICs-layer2-1,500.25
sp,16,802.3ad-4NICs-layer2-1,452.73
sp,16,802.3ad-4NICs-layer2-1,392.57
sp,16,802.3ad-4NICs-layer2-1,467.26
sp,16,802.3ad-4NICs-layer2-1,256.49
sp,16,802.3ad-4NICs-layer2-1,192.69
sp,16,802.3ad-4NICs-layer2-1,263.98
sp,16,802.3ad-4NICs-layer2-1,192.74
sp,16,802.3ad-4NICs-layer2-1,192.79
