apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2,322.92
sp,64,802.3ad-4NICs-layer2,311.84
sp,64,802.3ad-4NICs-layer2,299.22
sp,64,802.3ad-4NICs-layer2,326.82
sp,64,802.3ad-4NICs-layer2,336.59
sp,64,802.3ad-4NICs-layer2,309.60
sp,64,802.3ad-4NICs-layer2,343.83
sp,64,802.3ad-4NICs-layer2,319.09
sp,64,802.3ad-4NICs-layer2,322.06
sp,64,802.3ad-4NICs-layer2,315.38
sp,64,802.3ad-4NICs-layer2,313.06
sp,64,802.3ad-4NICs-layer2,302.96
sp,64,802.3ad-4NICs-layer2,328.73
sp,64,802.3ad-4NICs-layer2,305.26
sp,64,802.3ad-4NICs-layer2,319.85
sp,64,802.3ad-4NICs-layer2,305.33
sp,64,802.3ad-4NICs-layer2,305.32
sp,64,802.3ad-4NICs-layer2,316.26
sp,64,802.3ad-4NICs-layer2,311.20
sp,64,802.3ad-4NICs-layer2,317.59
sp,64,802.3ad-4NICs-layer2,330.26
sp,64,802.3ad-4NICs-layer2,321.50
sp,64,802.3ad-4NICs-layer2,324.06
sp,64,802.3ad-4NICs-layer2,332.96
sp,64,802.3ad-4NICs-layer2,319.95
sp,64,802.3ad-4NICs-layer2,306.18
sp,64,802.3ad-4NICs-layer2,315.36
sp,64,802.3ad-4NICs-layer2,305.99
sp,64,802.3ad-4NICs-layer2,317.49
sp,64,802.3ad-4NICs-layer2,306.74
