apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2,350.31
sp,64,802.3ad-4NICs-layer2,324.37
sp,64,802.3ad-4NICs-layer2,339.81
sp,64,802.3ad-4NICs-layer2,307.91
sp,64,802.3ad-4NICs-layer2,326.95
sp,64,802.3ad-4NICs-layer2,300.09
sp,64,802.3ad-4NICs-layer2,328.67
sp,64,802.3ad-4NICs-layer2,312.62
sp,64,802.3ad-4NICs-layer2,318.14
sp,64,802.3ad-4NICs-layer2,309.39
sp,64,802.3ad-4NICs-layer2,315.72
sp,64,802.3ad-4NICs-layer2,318.24
sp,64,802.3ad-4NICs-layer2,318.62
sp,64,802.3ad-4NICs-layer2,333.72
sp,64,802.3ad-4NICs-layer2,306.93
sp,64,802.3ad-4NICs-layer2,313.72
sp,64,802.3ad-4NICs-layer2,306.47
sp,64,802.3ad-4NICs-layer2,312.59
sp,64,802.3ad-4NICs-layer2,310.70
sp,64,802.3ad-4NICs-layer2,306.10
sp,64,802.3ad-4NICs-layer2,311.28
sp,64,802.3ad-4NICs-layer2,308.81
sp,64,802.3ad-4NICs-layer2,331.98
sp,64,802.3ad-4NICs-layer2,315.14
sp,64,802.3ad-4NICs-layer2,314.61
sp,64,802.3ad-4NICs-layer2,310.57
sp,64,802.3ad-4NICs-layer2,325.99
sp,64,802.3ad-4NICs-layer2,314.38
sp,64,802.3ad-4NICs-layer2,322.60
sp,64,802.3ad-4NICs-layer2,318.73
