apps,bondmode,time
ft,802.3ad-4NICs-layer2,151.36
sp,802.3ad-4NICs-layer2,543.76
bt,802.3ad-4NICs-layer2,175.63
sp,802.3ad-4NICs-layer2,192.88
ft,802.3ad-4NICs-layer2,93.60
cg,802.3ad-4NICs-layer2,208.63
bt,802.3ad-4NICs-layer2,194.78
ft,802.3ad-4NICs-layer2,93.75
cg,802.3ad-4NICs-layer2,44.68
lu,802.3ad-4NICs-layer2,299.05
sp,802.3ad-4NICs-layer2,193.55
bt,802.3ad-4NICs-layer2,662.54
ft,802.3ad-4NICs-layer2,93.71
lu,802.3ad-4NICs-layer2,216.38
lu,802.3ad-4NICs-layer2,413.62
is,802.3ad-4NICs-layer2,9.28
ft,802.3ad-4NICs-layer2,94.21
mg,802.3ad-4NICs-layer2,12.44
is,802.3ad-4NICs-layer2,9.37
cg,802.3ad-4NICs-layer2,45.19
lu,802.3ad-4NICs-layer2,107.73
mg,802.3ad-4NICs-layer2,12.61
alya,802.3ad-4NICs-layer2,1665.91
bt,802.3ad-4NICs-layer2,175.78
cg,802.3ad-4NICs-layer2,44.60
sp,802.3ad-4NICs-layer2,192.02
lu,802.3ad-4NICs-layer2,109.51
sp,802.3ad-4NICs-layer2,194.72
bt,802.3ad-4NICs-layer2,272.99
bt,802.3ad-4NICs-layer2,175.07
sp,802.3ad-4NICs-layer2,193.37
sp,802.3ad-4NICs-layer2,192.08
mg,802.3ad-4NICs-layer2,53.89
ep,802.3ad-4NICs-layer2,29.79
ep,802.3ad-4NICs-layer2,183.82
ep,802.3ad-4NICs-layer2,184.11
ep,802.3ad-4NICs-layer2,182.92
is,802.3ad-4NICs-layer2,9.27
ft,802.3ad-4NICs-layer2,244.26
alya,802.3ad-4NICs-layer2,1662.19
alya,802.3ad-4NICs-layer2,991.40
is,802.3ad-4NICs-layer2,9.21
mg,802.3ad-4NICs-layer2,12.25
ep,802.3ad-4NICs-layer2,184.23
is,802.3ad-4NICs-layer2,9.25
sp,802.3ad-4NICs-layer2,201.86
ft,802.3ad-4NICs-layer2,93.85
ft,802.3ad-4NICs-layer2,93.63
ep,802.3ad-4NICs-layer2,29.71
ep,802.3ad-4NICs-layer2,29.66
is,802.3ad-4NICs-layer2,9.22
