apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2-1,149.87
ft,16,802.3ad-4NICs-layer2-1,93.67
ft,16,802.3ad-4NICs-layer2-1,127.92
ft,16,802.3ad-4NICs-layer2-1,241.87
ft,16,802.3ad-4NICs-layer2-1,106.62
ft,16,802.3ad-4NICs-layer2-1,93.89
ft,16,802.3ad-4NICs-layer2-1,94.02
ft,16,802.3ad-4NICs-layer2-1,242.15
ft,16,802.3ad-4NICs-layer2-1,241.65
ft,16,802.3ad-4NICs-layer2-1,169.47
ft,16,802.3ad-4NICs-layer2-1,93.99
ft,16,802.3ad-4NICs-layer2-1,218.24
ft,16,802.3ad-4NICs-layer2-1,243.05
ft,16,802.3ad-4NICs-layer2-1,248.06
ft,16,802.3ad-4NICs-layer2-1,241.92
ft,16,802.3ad-4NICs-layer2-1,157.86
ft,16,802.3ad-4NICs-layer2-1,93.52
ft,16,802.3ad-4NICs-layer2-1,93.77
ft,16,802.3ad-4NICs-layer2-1,170.64
ft,16,802.3ad-4NICs-layer2-1,94.1
ft,16,802.3ad-4NICs-layer2-1,242.64
ft,16,802.3ad-4NICs-layer2-1,94.45
ft,16,802.3ad-4NICs-layer2-1,168.06
ft,16,802.3ad-4NICs-layer2-1,245.72
ft,16,802.3ad-4NICs-layer2-1,93.69
ft,16,802.3ad-4NICs-layer2-1,94.05
ft,16,802.3ad-4NICs-layer2-1,149.97
ft,16,802.3ad-4NICs-layer2-1,120.69
ft,16,802.3ad-4NICs-layer2-1,93.99
ft,16,802.3ad-4NICs-layer2-1,242.09
