apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2-1,9.25
is,16,802.3ad-4NICs-layer2-1,11.75
is,16,802.3ad-4NICs-layer2-1,16.63
is,16,802.3ad-4NICs-layer2-1,9.23
is,16,802.3ad-4NICs-layer2-1,16.75
is,16,802.3ad-4NICs-layer2-1,16.64
is,16,802.3ad-4NICs-layer2-1,9.24
is,16,802.3ad-4NICs-layer2-1,15.21
is,16,802.3ad-4NICs-layer2-1,9.24
is,16,802.3ad-4NICs-layer2-1,9.27
is,16,802.3ad-4NICs-layer2-1,9.2
is,16,802.3ad-4NICs-layer2-1,9.21
is,16,802.3ad-4NICs-layer2-1,9.32
is,16,802.3ad-4NICs-layer2-1,9.29
is,16,802.3ad-4NICs-layer2-1,9.26
is,16,802.3ad-4NICs-layer2-1,16.64
is,16,802.3ad-4NICs-layer2-1,9.25
is,16,802.3ad-4NICs-layer2-1,9.24
is,16,802.3ad-4NICs-layer2-1,9.27
is,16,802.3ad-4NICs-layer2-1,9.23
is,16,802.3ad-4NICs-layer2-1,9.33
is,16,802.3ad-4NICs-layer2-1,16.57
is,16,802.3ad-4NICs-layer2-1,16.82
is,16,802.3ad-4NICs-layer2-1,9.22
is,16,802.3ad-4NICs-layer2-1,13.04
is,16,802.3ad-4NICs-layer2-1,9.25
is,16,802.3ad-4NICs-layer2-1,9.21
is,16,802.3ad-4NICs-layer2-1,9.2
is,16,802.3ad-4NICs-layer2-1,9.26
is,16,802.3ad-4NICs-layer2-1,9.27
