apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2-1,94.38
ft,16,802.3ad-4NICs-layer2-1,93.92
ft,16,802.3ad-4NICs-layer2-1,148.06
ft,16,802.3ad-4NICs-layer2-1,94.13
ft,16,802.3ad-4NICs-layer2-1,187.53
ft,16,802.3ad-4NICs-layer2-1,102.32
ft,16,802.3ad-4NICs-layer2-1,94.32
ft,16,802.3ad-4NICs-layer2-1,194.66
ft,16,802.3ad-4NICs-layer2-1,94.22
ft,16,802.3ad-4NICs-layer2-1,94.26
ft,16,802.3ad-4NICs-layer2-1,242.21
ft,16,802.3ad-4NICs-layer2-1,129.41
ft,16,802.3ad-4NICs-layer2-1,122.75
ft,16,802.3ad-4NICs-layer2-1,93.48
ft,16,802.3ad-4NICs-layer2-1,93.91
ft,16,802.3ad-4NICs-layer2-1,241.46
ft,16,802.3ad-4NICs-layer2-1,94.18
ft,16,802.3ad-4NICs-layer2-1,93.93
ft,16,802.3ad-4NICs-layer2-1,233.64
ft,16,802.3ad-4NICs-layer2-1,121.78
ft,16,802.3ad-4NICs-layer2-1,195.12
ft,16,802.3ad-4NICs-layer2-1,174.93
ft,16,802.3ad-4NICs-layer2-1,128.81
ft,16,802.3ad-4NICs-layer2-1,93.68
ft,16,802.3ad-4NICs-layer2-1,94.63
ft,16,802.3ad-4NICs-layer2-1,155.6
ft,16,802.3ad-4NICs-layer2-1,222.43
ft,16,802.3ad-4NICs-layer2-1,93.78
ft,16,802.3ad-4NICs-layer2-1,104.89
ft,16,802.3ad-4NICs-layer2-1,93.4
