apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2-1,176.91
bt,16,802.3ad-4NICs-layer2-1,202.02
bt,16,802.3ad-4NICs-layer2-1,176.11
bt,16,802.3ad-4NICs-layer2-1,175.77
bt,16,802.3ad-4NICs-layer2-1,410.27
bt,16,802.3ad-4NICs-layer2-1,185.37
bt,16,802.3ad-4NICs-layer2-1,175.93
bt,16,802.3ad-4NICs-layer2-1,316.42
bt,16,802.3ad-4NICs-layer2-1,176.75
bt,16,802.3ad-4NICs-layer2-1,176.07
bt,16,802.3ad-4NICs-layer2-1,176.09
bt,16,802.3ad-4NICs-layer2-1,176.06
bt,16,802.3ad-4NICs-layer2-1,176.07
bt,16,802.3ad-4NICs-layer2-1,437.75
bt,16,802.3ad-4NICs-layer2-1,441.59
bt,16,802.3ad-4NICs-layer2-1,175.91
bt,16,802.3ad-4NICs-layer2-1,176.88
bt,16,802.3ad-4NICs-layer2-1,176.07
bt,16,802.3ad-4NICs-layer2-1,295.69
bt,16,802.3ad-4NICs-layer2-1,343.1
bt,16,802.3ad-4NICs-layer2-1,319.35
bt,16,802.3ad-4NICs-layer2-1,212.87
bt,16,802.3ad-4NICs-layer2-1,176.49
bt,16,802.3ad-4NICs-layer2-1,444.49
bt,16,802.3ad-4NICs-layer2-1,652.15
bt,16,802.3ad-4NICs-layer2-1,731
bt,16,802.3ad-4NICs-layer2-1,432.03
bt,16,802.3ad-4NICs-layer2-1,259.22
bt,16,802.3ad-4NICs-layer2-1,438.34
bt,16,802.3ad-4NICs-layer2-1,227.69
