apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2-1,208.14
bt,16,802.3ad-4NICs-layer2-1,314.42
bt,16,802.3ad-4NICs-layer2-1,530.15
bt,16,802.3ad-4NICs-layer2-1,175.96
bt,16,802.3ad-4NICs-layer2-1,176.47
bt,16,802.3ad-4NICs-layer2-1,176.46
bt,16,802.3ad-4NICs-layer2-1,225.56
bt,16,802.3ad-4NICs-layer2-1,176.63
bt,16,802.3ad-4NICs-layer2-1,335.95
bt,16,802.3ad-4NICs-layer2-1,183.03
bt,16,802.3ad-4NICs-layer2-1,176.11
bt,16,802.3ad-4NICs-layer2-1,175.45
bt,16,802.3ad-4NICs-layer2-1,176.75
bt,16,802.3ad-4NICs-layer2-1,176.68
bt,16,802.3ad-4NICs-layer2-1,176.13
bt,16,802.3ad-4NICs-layer2-1,176.04
bt,16,802.3ad-4NICs-layer2-1,616.9
bt,16,802.3ad-4NICs-layer2-1,176.19
bt,16,802.3ad-4NICs-layer2-1,176.02
bt,16,802.3ad-4NICs-layer2-1,580.31
bt,16,802.3ad-4NICs-layer2-1,176.48
bt,16,802.3ad-4NICs-layer2-1,203.26
bt,16,802.3ad-4NICs-layer2-1,176.28
bt,16,802.3ad-4NICs-layer2-1,175.3
bt,16,802.3ad-4NICs-layer2-1,176.69
bt,16,802.3ad-4NICs-layer2-1,327.68
bt,16,802.3ad-4NICs-layer2-1,175.52
bt,16,802.3ad-4NICs-layer2-1,176
bt,16,802.3ad-4NICs-layer2-1,244.3
bt,16,802.3ad-4NICs-layer2-1,176.69
