apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2-1,192.91
sp,16,802.3ad-4NICs-layer2-1,215.27
sp,16,802.3ad-4NICs-layer2-1,193.97
sp,16,802.3ad-4NICs-layer2-1,193.44
sp,16,802.3ad-4NICs-layer2-1,402.85
sp,16,802.3ad-4NICs-layer2-1,346.72
sp,16,802.3ad-4NICs-layer2-1,243.83
sp,16,802.3ad-4NICs-layer2-1,192.69
sp,16,802.3ad-4NICs-layer2-1,192.54
sp,16,802.3ad-4NICs-layer2-1,193.81
sp,16,802.3ad-4NICs-layer2-1,192.95
sp,16,802.3ad-4NICs-layer2-1,193.36
sp,16,802.3ad-4NICs-layer2-1,288.95
sp,16,802.3ad-4NICs-layer2-1,193.79
sp,16,802.3ad-4NICs-layer2-1,192.74
sp,16,802.3ad-4NICs-layer2-1,192.56
sp,16,802.3ad-4NICs-layer2-1,193.26
sp,16,802.3ad-4NICs-layer2-1,359.21
sp,16,802.3ad-4NICs-layer2-1,192.92
sp,16,802.3ad-4NICs-layer2-1,192.79
sp,16,802.3ad-4NICs-layer2-1,191.82
sp,16,802.3ad-4NICs-layer2-1,313.51
sp,16,802.3ad-4NICs-layer2-1,483.41
sp,16,802.3ad-4NICs-layer2-1,193.36
sp,16,802.3ad-4NICs-layer2-1,265.9
sp,16,802.3ad-4NICs-layer2-1,192.59
sp,16,802.3ad-4NICs-layer2-1,193.15
sp,16,802.3ad-4NICs-layer2-1,233.13
sp,16,802.3ad-4NICs-layer2-1,192.87
sp,16,802.3ad-4NICs-layer2-1,276.51
