apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2-1,399.5
sp,16,802.3ad-4NICs-layer2-1,192.38
sp,16,802.3ad-4NICs-layer2-1,193.92
sp,16,802.3ad-4NICs-layer2-1,193.99
sp,16,802.3ad-4NICs-layer2-1,345.35
sp,16,802.3ad-4NICs-layer2-1,285.04
sp,16,802.3ad-4NICs-layer2-1,237.23
sp,16,802.3ad-4NICs-layer2-1,253.16
sp,16,802.3ad-4NICs-layer2-1,192.88
sp,16,802.3ad-4NICs-layer2-1,192.9
sp,16,802.3ad-4NICs-layer2-1,193.24
sp,16,802.3ad-4NICs-layer2-1,193.69
sp,16,802.3ad-4NICs-layer2-1,512.86
sp,16,802.3ad-4NICs-layer2-1,279.41
sp,16,802.3ad-4NICs-layer2-1,348.77
sp,16,802.3ad-4NICs-layer2-1,525.63
sp,16,802.3ad-4NICs-layer2-1,742.91
sp,16,802.3ad-4NICs-layer2-1,224.59
sp,16,802.3ad-4NICs-layer2-1,193.2
sp,16,802.3ad-4NICs-layer2-1,305.33
sp,16,802.3ad-4NICs-layer2-1,192.6
sp,16,802.3ad-4NICs-layer2-1,283.97
sp,16,802.3ad-4NICs-layer2-1,193.53
sp,16,802.3ad-4NICs-layer2-1,193.56
sp,16,802.3ad-4NICs-layer2-1,217.68
sp,16,802.3ad-4NICs-layer2-1,193.06
sp,16,802.3ad-4NICs-layer2-1,192.84
sp,16,802.3ad-4NICs-layer2-1,193.03
sp,16,802.3ad-4NICs-layer2-1,571.81
sp,16,802.3ad-4NICs-layer2-1,321.49
