apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2-1,175.91
bt,16,802.3ad-4NICs-layer2-1,341.92
bt,16,802.3ad-4NICs-layer2-1,393.54
bt,16,802.3ad-4NICs-layer2-1,176.24
bt,16,802.3ad-4NICs-layer2-1,352.92
bt,16,802.3ad-4NICs-layer2-1,340.7
bt,16,802.3ad-4NICs-layer2-1,176.53
bt,16,802.3ad-4NICs-layer2-1,517.32
bt,16,802.3ad-4NICs-layer2-1,175.33
bt,16,802.3ad-4NICs-layer2-1,176.1
bt,16,802.3ad-4NICs-layer2-1,443.8
bt,16,802.3ad-4NICs-layer2-1,276.15
bt,16,802.3ad-4NICs-layer2-1,176.02
bt,16,802.3ad-4NICs-layer2-1,175.68
bt,16,802.3ad-4NICs-layer2-1,516.06
bt,16,802.3ad-4NICs-layer2-1,523.7
bt,16,802.3ad-4NICs-layer2-1,246.33
bt,16,802.3ad-4NICs-layer2-1,175.82
bt,16,802.3ad-4NICs-layer2-1,176.14
bt,16,802.3ad-4NICs-layer2-1,224.81
bt,16,802.3ad-4NICs-layer2-1,176.21
bt,16,802.3ad-4NICs-layer2-1,176.26
bt,16,802.3ad-4NICs-layer2-1,176.38
bt,16,802.3ad-4NICs-layer2-1,396.43
bt,16,802.3ad-4NICs-layer2-1,176.48
bt,16,802.3ad-4NICs-layer2-1,176.08
bt,16,802.3ad-4NICs-layer2-1,363.21
bt,16,802.3ad-4NICs-layer2-1,401.6
bt,16,802.3ad-4NICs-layer2-1,176.43
bt,16,802.3ad-4NICs-layer2-1,176.19
