apps,process,bondmode,time
ft,64,802.3ad-4NICs-layer2-1,105.63
ft,64,802.3ad-4NICs-layer2-1,101.05
ft,64,802.3ad-4NICs-layer2-1,101.39
ft,64,802.3ad-4NICs-layer2-1,100.5
ft,64,802.3ad-4NICs-layer2-1,99.84
ft,64,802.3ad-4NICs-layer2-1,110.83
ft,64,802.3ad-4NICs-layer2-1,110.72
ft,64,802.3ad-4NICs-layer2-1,98.89
ft,64,802.3ad-4NICs-layer2-1,103.17
ft,64,802.3ad-4NICs-layer2-1,93.06
ft,64,802.3ad-4NICs-layer2-1,104.18
ft,64,802.3ad-4NICs-layer2-1,105.11
ft,64,802.3ad-4NICs-layer2-1,98.29
ft,64,802.3ad-4NICs-layer2-1,105.21
ft,64,802.3ad-4NICs-layer2-1,116.25
ft,64,802.3ad-4NICs-layer2-1,105.49
ft,64,802.3ad-4NICs-layer2-1,106.27
ft,64,802.3ad-4NICs-layer2-1,111.29
ft,64,802.3ad-4NICs-layer2-1,99.35
ft,64,802.3ad-4NICs-layer2-1,92.18
ft,64,802.3ad-4NICs-layer2-1,105.76
ft,64,802.3ad-4NICs-layer2-1,118.62
ft,64,802.3ad-4NICs-layer2-1,93.06
ft,64,802.3ad-4NICs-layer2-1,98.99
ft,64,802.3ad-4NICs-layer2-1,99.5
ft,64,802.3ad-4NICs-layer2-1,94.14
ft,64,802.3ad-4NICs-layer2-1,107.14
ft,64,802.3ad-4NICs-layer2-1,96.9
ft,64,802.3ad-4NICs-layer2-1,110.8
ft,64,802.3ad-4NICs-layer2-1,115.31
