apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2-1,252.24
bt,64,802.3ad-4NICs-layer2-1,279.06
bt,64,802.3ad-4NICs-layer2-1,241.03
bt,64,802.3ad-4NICs-layer2-1,269.27
bt,64,802.3ad-4NICs-layer2-1,262.78
bt,64,802.3ad-4NICs-layer2-1,277.18
bt,64,802.3ad-4NICs-layer2-1,249.93
bt,64,802.3ad-4NICs-layer2-1,271.33
bt,64,802.3ad-4NICs-layer2-1,292.16
bt,64,802.3ad-4NICs-layer2-1,246.86
bt,64,802.3ad-4NICs-layer2-1,292.01
bt,64,802.3ad-4NICs-layer2-1,246.71
bt,64,802.3ad-4NICs-layer2-1,274.08
bt,64,802.3ad-4NICs-layer2-1,254.07
bt,64,802.3ad-4NICs-layer2-1,249.75
bt,64,802.3ad-4NICs-layer2-1,276.19
bt,64,802.3ad-4NICs-layer2-1,291.12
bt,64,802.3ad-4NICs-layer2-1,257.32
bt,64,802.3ad-4NICs-layer2-1,255.33
bt,64,802.3ad-4NICs-layer2-1,263.07
bt,64,802.3ad-4NICs-layer2-1,271.61
bt,64,802.3ad-4NICs-layer2-1,260.11
bt,64,802.3ad-4NICs-layer2-1,297.06
bt,64,802.3ad-4NICs-layer2-1,272.62
bt,64,802.3ad-4NICs-layer2-1,241.34
bt,64,802.3ad-4NICs-layer2-1,265.66
bt,64,802.3ad-4NICs-layer2-1,314.1
bt,64,802.3ad-4NICs-layer2-1,257.92
bt,64,802.3ad-4NICs-layer2-1,257.32
bt,64,802.3ad-4NICs-layer2-1,256.57
