apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2-1,322.92
sp,64,802.3ad-4NICs-layer2-1,311.84
sp,64,802.3ad-4NICs-layer2-1,299.22
sp,64,802.3ad-4NICs-layer2-1,326.82
sp,64,802.3ad-4NICs-layer2-1,336.59
sp,64,802.3ad-4NICs-layer2-1,309.6
sp,64,802.3ad-4NICs-layer2-1,343.83
sp,64,802.3ad-4NICs-layer2-1,319.09
sp,64,802.3ad-4NICs-layer2-1,322.06
sp,64,802.3ad-4NICs-layer2-1,315.38
sp,64,802.3ad-4NICs-layer2-1,313.06
sp,64,802.3ad-4NICs-layer2-1,302.96
sp,64,802.3ad-4NICs-layer2-1,328.73
sp,64,802.3ad-4NICs-layer2-1,305.26
sp,64,802.3ad-4NICs-layer2-1,319.85
sp,64,802.3ad-4NICs-layer2-1,305.33
sp,64,802.3ad-4NICs-layer2-1,305.32
sp,64,802.3ad-4NICs-layer2-1,316.26
sp,64,802.3ad-4NICs-layer2-1,311.2
sp,64,802.3ad-4NICs-layer2-1,317.59
sp,64,802.3ad-4NICs-layer2-1,330.26
sp,64,802.3ad-4NICs-layer2-1,321.5
sp,64,802.3ad-4NICs-layer2-1,324.06
sp,64,802.3ad-4NICs-layer2-1,332.96
sp,64,802.3ad-4NICs-layer2-1,319.95
sp,64,802.3ad-4NICs-layer2-1,306.18
sp,64,802.3ad-4NICs-layer2-1,315.36
sp,64,802.3ad-4NICs-layer2-1,305.99
sp,64,802.3ad-4NICs-layer2-1,317.49
sp,64,802.3ad-4NICs-layer2-1,306.74
