apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2-1,258.47
bt,64,802.3ad-4NICs-layer2-1,258.35
bt,64,802.3ad-4NICs-layer2-1,250.99
bt,64,802.3ad-4NICs-layer2-1,245.34
bt,64,802.3ad-4NICs-layer2-1,253.18
bt,64,802.3ad-4NICs-layer2-1,247.49
bt,64,802.3ad-4NICs-layer2-1,243.9
bt,64,802.3ad-4NICs-layer2-1,265.46
bt,64,802.3ad-4NICs-layer2-1,258.53
bt,64,802.3ad-4NICs-layer2-1,262.37
bt,64,802.3ad-4NICs-layer2-1,267.36
bt,64,802.3ad-4NICs-layer2-1,244.25
bt,64,802.3ad-4NICs-layer2-1,257.67
bt,64,802.3ad-4NICs-layer2-1,275.75
bt,64,802.3ad-4NICs-layer2-1,248.7
bt,64,802.3ad-4NICs-layer2-1,252.95
bt,64,802.3ad-4NICs-layer2-1,276.51
bt,64,802.3ad-4NICs-layer2-1,256.03
bt,64,802.3ad-4NICs-layer2-1,254.4
bt,64,802.3ad-4NICs-layer2-1,295.88
bt,64,802.3ad-4NICs-layer2-1,276.27
bt,64,802.3ad-4NICs-layer2-1,283.4
bt,64,802.3ad-4NICs-layer2-1,273.64
bt,64,802.3ad-4NICs-layer2-1,249.78
bt,64,802.3ad-4NICs-layer2-1,250.88
bt,64,802.3ad-4NICs-layer2-1,267.63
bt,64,802.3ad-4NICs-layer2-1,264.41
bt,64,802.3ad-4NICs-layer2-1,282.54
bt,64,802.3ad-4NICs-layer2-1,253.8
bt,64,802.3ad-4NICs-layer2-1,255.07
