apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2-1,287.97
bt,64,802.3ad-4NICs-layer2-1,251.4
bt,64,802.3ad-4NICs-layer2-1,291.56
bt,64,802.3ad-4NICs-layer2-1,256.7
bt,64,802.3ad-4NICs-layer2-1,258.26
bt,64,802.3ad-4NICs-layer2-1,268.3
bt,64,802.3ad-4NICs-layer2-1,274.87
bt,64,802.3ad-4NICs-layer2-1,260.62
bt,64,802.3ad-4NICs-layer2-1,280.85
bt,64,802.3ad-4NICs-layer2-1,280.01
bt,64,802.3ad-4NICs-layer2-1,260.45
bt,64,802.3ad-4NICs-layer2-1,260.27
bt,64,802.3ad-4NICs-layer2-1,266.91
bt,64,802.3ad-4NICs-layer2-1,264.47
bt,64,802.3ad-4NICs-layer2-1,271.68
bt,64,802.3ad-4NICs-layer2-1,266.34
bt,64,802.3ad-4NICs-layer2-1,236.17
bt,64,802.3ad-4NICs-layer2-1,288.25
bt,64,802.3ad-4NICs-layer2-1,279.43
bt,64,802.3ad-4NICs-layer2-1,271.08
bt,64,802.3ad-4NICs-layer2-1,255.07
bt,64,802.3ad-4NICs-layer2-1,251.15
bt,64,802.3ad-4NICs-layer2-1,260.4
bt,64,802.3ad-4NICs-layer2-1,267.71
bt,64,802.3ad-4NICs-layer2-1,270.21
bt,64,802.3ad-4NICs-layer2-1,238.5
bt,64,802.3ad-4NICs-layer2-1,257.64
bt,64,802.3ad-4NICs-layer2-1,252.81
bt,64,802.3ad-4NICs-layer2-1,250.02
bt,64,802.3ad-4NICs-layer2-1,278.48
