apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2-1,350.31
sp,64,802.3ad-4NICs-layer2-1,324.37
sp,64,802.3ad-4NICs-layer2-1,339.81
sp,64,802.3ad-4NICs-layer2-1,307.91
sp,64,802.3ad-4NICs-layer2-1,326.95
sp,64,802.3ad-4NICs-layer2-1,300.09
sp,64,802.3ad-4NICs-layer2-1,328.67
sp,64,802.3ad-4NICs-layer2-1,312.62
sp,64,802.3ad-4NICs-layer2-1,318.14
sp,64,802.3ad-4NICs-layer2-1,309.39
sp,64,802.3ad-4NICs-layer2-1,315.72
sp,64,802.3ad-4NICs-layer2-1,318.24
sp,64,802.3ad-4NICs-layer2-1,318.62
sp,64,802.3ad-4NICs-layer2-1,333.72
sp,64,802.3ad-4NICs-layer2-1,306.93
sp,64,802.3ad-4NICs-layer2-1,313.72
sp,64,802.3ad-4NICs-layer2-1,306.47
sp,64,802.3ad-4NICs-layer2-1,312.59
sp,64,802.3ad-4NICs-layer2-1,310.7
sp,64,802.3ad-4NICs-layer2-1,306.1
sp,64,802.3ad-4NICs-layer2-1,311.28
sp,64,802.3ad-4NICs-layer2-1,308.81
sp,64,802.3ad-4NICs-layer2-1,331.98
sp,64,802.3ad-4NICs-layer2-1,315.14
sp,64,802.3ad-4NICs-layer2-1,314.61
sp,64,802.3ad-4NICs-layer2-1,310.57
sp,64,802.3ad-4NICs-layer2-1,325.99
sp,64,802.3ad-4NICs-layer2-1,314.38
sp,64,802.3ad-4NICs-layer2-1,322.6
sp,64,802.3ad-4NICs-layer2-1,318.73
