apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2-1,325.39
sp,64,802.3ad-4NICs-layer2-1,321.68
sp,64,802.3ad-4NICs-layer2-1,327.95
sp,64,802.3ad-4NICs-layer2-1,311.82
sp,64,802.3ad-4NICs-layer2-1,299.45
sp,64,802.3ad-4NICs-layer2-1,332.4
sp,64,802.3ad-4NICs-layer2-1,312.31
sp,64,802.3ad-4NICs-layer2-1,293.4
sp,64,802.3ad-4NICs-layer2-1,311.34
sp,64,802.3ad-4NICs-layer2-1,308.88
sp,64,802.3ad-4NICs-layer2-1,315.01
sp,64,802.3ad-4NICs-layer2-1,323.79
sp,64,802.3ad-4NICs-layer2-1,306.51
sp,64,802.3ad-4NICs-layer2-1,300.5
sp,64,802.3ad-4NICs-layer2-1,312.86
sp,64,802.3ad-4NICs-layer2-1,312.1
sp,64,802.3ad-4NICs-layer2-1,309.1
sp,64,802.3ad-4NICs-layer2-1,319.43
sp,64,802.3ad-4NICs-layer2-1,307.48
sp,64,802.3ad-4NICs-layer2-1,332.56
sp,64,802.3ad-4NICs-layer2-1,307.24
sp,64,802.3ad-4NICs-layer2-1,318.44
sp,64,802.3ad-4NICs-layer2-1,326.24
sp,64,802.3ad-4NICs-layer2-1,304.32
sp,64,802.3ad-4NICs-layer2-1,323.56
sp,64,802.3ad-4NICs-layer2-1,314.75
sp,64,802.3ad-4NICs-layer2-1,316.42
sp,64,802.3ad-4NICs-layer2-1,323.22
sp,64,802.3ad-4NICs-layer2-1,311.76
