number,apps,process
1,is,16
2,is,16
3,is,16
4,is,16
5,is,16
6,is,16
7,is,16
8,is,16
9,is,16
10,is,16
11,is,16
12,is,16
13,is,16
14,is,16
15,is,16
16,is,16
17,is,16
18,is,16
19,is,16
20,is,16
21,is,16
22,is,16
23,is,16
24,is,16
25,is,16
26,is,16
27,is,16
28,is,16
29,is,16
30,is,16
31,ft,16
32,ft,16
33,ft,16
34,ft,16
35,ft,16
36,ft,16
37,ft,16
38,ft,16
39,ft,16
40,ft,16
41,ft,16
42,ft,16
43,ft,16
44,ft,16
45,ft,16
46,ft,16
47,ft,16
48,ft,16
49,ft,16
50,ft,16
51,ft,16
52,ft,16
53,ft,16
54,ft,16
55,ft,16
56,ft,16
57,ft,16
58,ft,16
59,ft,16
60,ft,16
61,is,16
62,is,16
63,is,16
64,is,16
65,is,16
66,is,16
67,is,16
68,is,16
69,is,16
70,is,16
71,is,16
72,is,16
73,is,16
74,is,16
75,is,16
76,is,16
77,is,16
78,is,16
79,is,16
80,is,16
81,is,16
82,is,16
83,is,16
84,is,16
85,is,16
86,is,16
87,is,16
88,is,16
89,is,16
90,is,16
91,ft,16
92,ft,16
93,ft,16
94,ft,16
95,ft,16
96,ft,16
97,ft,16
98,ft,16
99,ft,16
100,ft,16
101,ft,16
102,ft,16
103,ft,16
104,ft,16
105,ft,16
106,ft,16
107,ft,16
108,ft,16
109,ft,16
110,ft,16
111,ft,16
112,ft,16
113,ft,16
114,ft,16
115,ft,16
116,ft,16
117,ft,16
118,ft,16
119,ft,16
120,ft,16
121,bt,16
122,bt,16
123,bt,16
124,bt,16
125,bt,16
126,bt,16
127,bt,16
128,bt,16
129,bt,16
130,bt,16
131,bt,16
132,bt,16
133,bt,16
134,bt,16
135,bt,16
136,bt,16
137,bt,16
138,bt,16
139,bt,16
140,bt,16
141,bt,16
142,bt,16
143,bt,16
144,bt,16
145,bt,16
146,bt,16
147,bt,16
148,bt,16
149,bt,16
150,bt,16
151,sp,16
152,sp,16
153,sp,16
154,sp,16
155,sp,16
156,sp,16
157,sp,16
158,sp,16
159,sp,16
160,sp,16
161,sp,16
162,sp,16
163,sp,16
164,sp,16
165,sp,16
166,sp,16
167,sp,16
168,sp,16
169,sp,16
170,sp,16
171,sp,16
172,sp,16
173,sp,16
174,sp,16
175,sp,16
176,sp,16
177,sp,16
178,sp,16
179,sp,16
180,sp,16
181,bt,16
182,bt,16
183,bt,16
184,bt,16
185,bt,16
186,bt,16
187,bt,16
188,bt,16
189,bt,16
190,bt,16
191,bt,16
192,bt,16
193,bt,16
194,bt,16
195,bt,16
196,bt,16
197,bt,16
198,bt,16
199,bt,16
200,bt,16
201,bt,16
202,bt,16
203,bt,16
204,bt,16
205,bt,16
206,bt,16
207,bt,16
208,bt,16
209,bt,16
210,bt,16
211,sp,16
212,sp,16
213,sp,16
214,sp,16
215,sp,16
216,sp,16
217,sp,16
218,sp,16
219,sp,16
220,sp,16
221,sp,16
222,sp,16
223,sp,16
224,sp,16
225,sp,16
226,sp,16
227,sp,16
228,sp,16
229,sp,16
230,sp,16
231,sp,16
232,sp,16
233,sp,16
234,sp,16
235,sp,16
236,sp,16
237,sp,16
238,sp,16
239,sp,16
240,sp,16
241,bt,16
242,bt,16
243,bt,16
244,bt,16
245,bt,16
246,bt,16
247,bt,16
248,bt,16
249,bt,16
250,bt,16
251,bt,16
252,bt,16
253,bt,16
254,bt,16
255,bt,16
256,bt,16
257,bt,16
258,bt,16
259,bt,16
260,bt,16
261,bt,16
262,bt,16
263,bt,16
264,bt,16
265,bt,16
266,bt,16
267,bt,16
268,bt,16
269,bt,16
270,bt,16
271,sp,16
272,sp,16
273,sp,16
274,sp,16
275,sp,16
276,sp,16
277,sp,16
278,sp,16
279,sp,16
280,sp,16
281,sp,16
282,sp,16
283,sp,16
284,sp,16
285,sp,16
286,sp,16
287,sp,16
288,sp,16
289,sp,16
290,sp,16
291,sp,16
292,sp,16
293,sp,16
294,sp,16
295,sp,16
296,sp,16
297,sp,16
298,sp,16
299,sp,16
300,sp,16
301,bt,16
302,bt,16
303,bt,16
304,bt,16
305,bt,16
306,bt,16
307,bt,16
308,bt,16
309,bt,16
310,bt,16
311,bt,16
312,bt,16
313,bt,16
314,bt,16
315,bt,16
316,bt,16
317,bt,16
318,bt,16
319,bt,16
320,bt,16
321,bt,16
322,bt,16
323,bt,16
324,bt,16
325,bt,16
326,bt,16
327,bt,16
328,bt,16
329,bt,16
330,bt,16
331,sp,16
332,sp,16
333,sp,16
334,sp,16
335,sp,16
336,sp,16
337,sp,16
338,sp,16
339,sp,16
340,sp,16
341,sp,16
342,sp,16
343,sp,16
344,sp,16
345,sp,16
346,sp,16
347,sp,16
348,sp,16
349,sp,16
350,sp,16
351,sp,16
352,sp,16
353,sp,16
354,sp,16
355,sp,16
356,sp,16
357,sp,16
358,sp,16
359,sp,16
360,sp,16
361,is,64
362,is,64
363,is,64
364,is,64
365,is,64
366,is,64
367,is,64
368,is,64
369,is,64
370,is,64
371,is,64
372,is,64
373,is,64
374,is,64
375,is,64
376,is,64
377,is,64
378,is,64
379,is,64
380,is,64
381,is,64
382,is,64
383,is,64
384,is,64
385,is,64
386,is,64
387,is,64
388,is,64
389,is,64
390,is,64
391,ft,64
392,ft,64
393,ft,64
394,ft,64
395,ft,64
396,ft,64
397,ft,64
398,ft,64
399,ft,64
400,ft,64
401,ft,64
402,ft,64
403,ft,64
