apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2,1185.54
bt,64,802.3ad-4NICs-layer2,1003.05
bt,64,802.3ad-4NICs-layer2,1228.54
bt,64,802.3ad-4NICs-layer2,1221.1
bt,64,802.3ad-4NICs-layer2,1161.58
bt,64,802.3ad-4NICs-layer2,1181.24
bt,64,802.3ad-4NICs-layer2,1236.84
bt,64,802.3ad-4NICs-layer2,1125.09
bt,64,802.3ad-4NICs-layer2,1086.29
bt,64,802.3ad-4NICs-layer2,1227.9
bt,64,802.3ad-4NICs-layer2,1207.13
bt,64,802.3ad-4NICs-layer2,1130.88
bt,64,802.3ad-4NICs-layer2,1146.79
bt,64,802.3ad-4NICs-layer2,879.91
bt,64,802.3ad-4NICs-layer2,1174.87
bt,64,802.3ad-4NICs-layer2,1060.25
bt,64,802.3ad-4NICs-layer2,1013.29
bt,64,802.3ad-4NICs-layer2,824.9
bt,64,802.3ad-4NICs-layer2,734.7
bt,64,802.3ad-4NICs-layer2,727.42
bt,64,802.3ad-4NICs-layer2,928.95
bt,64,802.3ad-4NICs-layer2,997.74
bt,64,802.3ad-4NICs-layer2,896.51
bt,64,802.3ad-4NICs-layer2,881.74
bt,64,802.3ad-4NICs-layer2,812.13
bt,64,802.3ad-4NICs-layer2,850.33
bt,64,802.3ad-4NICs-layer2,1001.84
bt,64,802.3ad-4NICs-layer2,1008.47
bt,64,802.3ad-4NICs-layer2,854.68
bt,64,802.3ad-4NICs-layer2,867.86
