apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,961.41
bt,16,802.3ad-4NICs-layer2,959.28
bt,16,802.3ad-4NICs-layer2,960.81
bt,16,802.3ad-4NICs-layer2,966.47
bt,16,802.3ad-4NICs-layer2,962.13
bt,16,802.3ad-4NICs-layer2,963.73
bt,16,802.3ad-4NICs-layer2,961.74
bt,16,802.3ad-4NICs-layer2,968.07
bt,16,802.3ad-4NICs-layer2,968.13
bt,16,802.3ad-4NICs-layer2,961.22
bt,16,802.3ad-4NICs-layer2,965.22
bt,16,802.3ad-4NICs-layer2,962.04
bt,16,802.3ad-4NICs-layer2,965.58
bt,16,802.3ad-4NICs-layer2,980.85
bt,16,802.3ad-4NICs-layer2,960.38
bt,16,802.3ad-4NICs-layer2,962.89
bt,16,802.3ad-4NICs-layer2,963.95
bt,16,802.3ad-4NICs-layer2,967.13
bt,16,802.3ad-4NICs-layer2,962.12
bt,16,802.3ad-4NICs-layer2,964.08
bt,16,802.3ad-4NICs-layer2,963.71
bt,16,802.3ad-4NICs-layer2,965.32
bt,16,802.3ad-4NICs-layer2,967.33
bt,16,802.3ad-4NICs-layer2,964.09
bt,16,802.3ad-4NICs-layer2,963.72
bt,16,802.3ad-4NICs-layer2,967.98
bt,16,802.3ad-4NICs-layer2,962.23
bt,16,802.3ad-4NICs-layer2,960.68
bt,16,802.3ad-4NICs-layer2,962.99
bt,16,802.3ad-4NICs-layer2,962.32
