apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2,280.82
ft,16,802.3ad-4NICs-layer2,266.45
ft,16,802.3ad-4NICs-layer2,265.92
ft,16,802.3ad-4NICs-layer2,273.58
ft,16,802.3ad-4NICs-layer2,277.23
ft,16,802.3ad-4NICs-layer2,268.73
ft,16,802.3ad-4NICs-layer2,272.88
ft,16,802.3ad-4NICs-layer2,269
ft,16,802.3ad-4NICs-layer2,275.65
ft,16,802.3ad-4NICs-layer2,272.78
ft,16,802.3ad-4NICs-layer2,274.1
ft,16,802.3ad-4NICs-layer2,274.37
ft,16,802.3ad-4NICs-layer2,272.38
ft,16,802.3ad-4NICs-layer2,267.39
ft,16,802.3ad-4NICs-layer2,267.93
ft,16,802.3ad-4NICs-layer2,277.18
ft,16,802.3ad-4NICs-layer2,275.97
ft,16,802.3ad-4NICs-layer2,270.04
ft,16,802.3ad-4NICs-layer2,275.56
ft,16,802.3ad-4NICs-layer2,269.27
ft,16,802.3ad-4NICs-layer2,274.27
ft,16,802.3ad-4NICs-layer2,269.24
ft,16,802.3ad-4NICs-layer2,268.63
ft,16,802.3ad-4NICs-layer2,274.49
ft,16,802.3ad-4NICs-layer2,267.23
ft,16,802.3ad-4NICs-layer2,267.72
ft,16,802.3ad-4NICs-layer2,270.96
ft,16,802.3ad-4NICs-layer2,269.72
ft,16,802.3ad-4NICs-layer2,269.64
ft,16,802.3ad-4NICs-layer2,275.16
