apps,process,bondmode,time
ft,64,802.3ad-4NICs-layer2,286.52
ft,64,802.3ad-4NICs-layer2,312.21
ft,64,802.3ad-4NICs-layer2,320.27
ft,64,802.3ad-4NICs-layer2,259.61
ft,64,802.3ad-4NICs-layer2,312.03
ft,64,802.3ad-4NICs-layer2,317.54
ft,64,802.3ad-4NICs-layer2,300.7
ft,64,802.3ad-4NICs-layer2,306.96
ft,64,802.3ad-4NICs-layer2,296.23
ft,64,802.3ad-4NICs-layer2,285.54
ft,64,802.3ad-4NICs-layer2,300.24
ft,64,802.3ad-4NICs-layer2,304.3
ft,64,802.3ad-4NICs-layer2,260.37
ft,64,802.3ad-4NICs-layer2,307.11
ft,64,802.3ad-4NICs-layer2,313.56
ft,64,802.3ad-4NICs-layer2,199.61
ft,64,802.3ad-4NICs-layer2,311.83
ft,64,802.3ad-4NICs-layer2,294.23
ft,64,802.3ad-4NICs-layer2,313.61
ft,64,802.3ad-4NICs-layer2,310.91
ft,64,802.3ad-4NICs-layer2,288.17
ft,64,802.3ad-4NICs-layer2,267.21
ft,64,802.3ad-4NICs-layer2,295.97
ft,64,802.3ad-4NICs-layer2,309.48
ft,64,802.3ad-4NICs-layer2,295.31
ft,64,802.3ad-4NICs-layer2,205.1
ft,64,802.3ad-4NICs-layer2,208.68
ft,64,802.3ad-4NICs-layer2,271
ft,64,802.3ad-4NICs-layer2,304.9
ft,64,802.3ad-4NICs-layer2,294.2
