apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,25.39
is,16,802.3ad-4NICs-layer2,22.53
is,16,802.3ad-4NICs-layer2,23.01
is,16,802.3ad-4NICs-layer2,20.85
is,16,802.3ad-4NICs-layer2,21.84
is,16,802.3ad-4NICs-layer2,19.82
is,16,802.3ad-4NICs-layer2,23.86
is,16,802.3ad-4NICs-layer2,22.55
is,16,802.3ad-4NICs-layer2,20.43
is,16,802.3ad-4NICs-layer2,22.29
is,16,802.3ad-4NICs-layer2,20.74
is,16,802.3ad-4NICs-layer2,22.26
is,16,802.3ad-4NICs-layer2,23.97
is,16,802.3ad-4NICs-layer2,19.51
is,16,802.3ad-4NICs-layer2,22.65
is,16,802.3ad-4NICs-layer2,22.96
is,16,802.3ad-4NICs-layer2,21.3
is,16,802.3ad-4NICs-layer2,23.73
is,16,802.3ad-4NICs-layer2,20.03
is,16,802.3ad-4NICs-layer2,22.55
is,16,802.3ad-4NICs-layer2,22.52
is,16,802.3ad-4NICs-layer2,20.79
is,16,802.3ad-4NICs-layer2,22.64
is,16,802.3ad-4NICs-layer2,20.13
is,16,802.3ad-4NICs-layer2,22.04
is,16,802.3ad-4NICs-layer2,23.11
is,16,802.3ad-4NICs-layer2,19.91
is,16,802.3ad-4NICs-layer2,24.06
is,16,802.3ad-4NICs-layer2,21.56
is,16,802.3ad-4NICs-layer2,21.02
