apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,981.31
sp,16,802.3ad-4NICs-layer2,964.54
sp,16,802.3ad-4NICs-layer2,967.32
sp,16,802.3ad-4NICs-layer2,950.43
sp,16,802.3ad-4NICs-layer2,972.05
sp,16,802.3ad-4NICs-layer2,967.85
sp,16,802.3ad-4NICs-layer2,975.45
sp,16,802.3ad-4NICs-layer2,972.92
sp,16,802.3ad-4NICs-layer2,973.82
sp,16,802.3ad-4NICs-layer2,948.76
sp,16,802.3ad-4NICs-layer2,938.16
sp,16,802.3ad-4NICs-layer2,966.96
sp,16,802.3ad-4NICs-layer2,969.18
sp,16,802.3ad-4NICs-layer2,965.63
sp,16,802.3ad-4NICs-layer2,972.04
sp,16,802.3ad-4NICs-layer2,986.85
sp,16,802.3ad-4NICs-layer2,985.48
sp,16,802.3ad-4NICs-layer2,943.65
sp,16,802.3ad-4NICs-layer2,972.24
sp,16,802.3ad-4NICs-layer2,968.9
sp,16,802.3ad-4NICs-layer2,973.84
sp,16,802.3ad-4NICs-layer2,971.74
sp,16,802.3ad-4NICs-layer2,970.27
sp,16,802.3ad-4NICs-layer2,969.79
sp,16,802.3ad-4NICs-layer2,972.29
sp,16,802.3ad-4NICs-layer2,962.28
sp,16,802.3ad-4NICs-layer2,970.26
sp,16,802.3ad-4NICs-layer2,944.2
sp,16,802.3ad-4NICs-layer2,966.86
sp,16,802.3ad-4NICs-layer2,974.03
