apps,process,bondmode,time
sp,16,802.3ad-4NICs-layer2,850.49
sp,16,802.3ad-4NICs-layer2,863.55
sp,16,802.3ad-4NICs-layer2,850.1
sp,16,802.3ad-4NICs-layer2,853.1
sp,16,802.3ad-4NICs-layer2,848.39
sp,16,802.3ad-4NICs-layer2,850.37
sp,16,802.3ad-4NICs-layer2,849.54
sp,16,802.3ad-4NICs-layer2,826.61
sp,16,802.3ad-4NICs-layer2,825.94
sp,16,802.3ad-4NICs-layer2,850.51
sp,16,802.3ad-4NICs-layer2,844.36
sp,16,802.3ad-4NICs-layer2,849.61
sp,16,802.3ad-4NICs-layer2,847.78
sp,16,802.3ad-4NICs-layer2,853.12
sp,16,802.3ad-4NICs-layer2,845.38
sp,16,802.3ad-4NICs-layer2,854.68
sp,16,802.3ad-4NICs-layer2,852.67
sp,16,802.3ad-4NICs-layer2,859.68
sp,16,802.3ad-4NICs-layer2,845.66
sp,16,802.3ad-4NICs-layer2,848.09
sp,16,802.3ad-4NICs-layer2,851.38
sp,16,802.3ad-4NICs-layer2,849.11
sp,16,802.3ad-4NICs-layer2,847.81
sp,16,802.3ad-4NICs-layer2,849.09
sp,16,802.3ad-4NICs-layer2,856.46
sp,16,802.3ad-4NICs-layer2,852.77
sp,16,802.3ad-4NICs-layer2,841.74
sp,16,802.3ad-4NICs-layer2,849.02
sp,16,802.3ad-4NICs-layer2,853.23
sp,16,802.3ad-4NICs-layer2,851.38
