apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2,1026.77
sp,64,802.3ad-4NICs-layer2,977.86
sp,64,802.3ad-4NICs-layer2,852.86
sp,64,802.3ad-4NICs-layer2,859.8
sp,64,802.3ad-4NICs-layer2,668.56
sp,64,802.3ad-4NICs-layer2,755.52
sp,64,802.3ad-4NICs-layer2,1002.69
sp,64,802.3ad-4NICs-layer2,902.19
sp,64,802.3ad-4NICs-layer2,1087.77
sp,64,802.3ad-4NICs-layer2,934.17
sp,64,802.3ad-4NICs-layer2,747.04
sp,64,802.3ad-4NICs-layer2,681.34
sp,64,802.3ad-4NICs-layer2,666.43
sp,64,802.3ad-4NICs-layer2,728.75
sp,64,802.3ad-4NICs-layer2,575.13
sp,64,802.3ad-4NICs-layer2,856.54
sp,64,802.3ad-4NICs-layer2,738.97
sp,64,802.3ad-4NICs-layer2,833.88
sp,64,802.3ad-4NICs-layer2,844.19
sp,64,802.3ad-4NICs-layer2,795.25
sp,64,802.3ad-4NICs-layer2,843.91
sp,64,802.3ad-4NICs-layer2,963.35
sp,64,802.3ad-4NICs-layer2,907.04
sp,64,802.3ad-4NICs-layer2,927.11
sp,64,802.3ad-4NICs-layer2,734.17
sp,64,802.3ad-4NICs-layer2,730.9
sp,64,802.3ad-4NICs-layer2,816.97
sp,64,802.3ad-4NICs-layer2,773.89
sp,64,802.3ad-4NICs-layer2,855.38
sp,64,802.3ad-4NICs-layer2,780.18
