apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,25.39
is,16,802.3ad-4NICs-layer2,22.53
is,16,802.3ad-4NICs-layer2,23.01
is,16,802.3ad-4NICs-layer2,20.85
is,16,802.3ad-4NICs-layer2,21.84
is,16,802.3ad-4NICs-layer2,19.82
is,16,802.3ad-4NICs-layer2,23.86
is,16,802.3ad-4NICs-layer2,22.55
is,16,802.3ad-4NICs-layer2,20.43
is,16,802.3ad-4NICs-layer2,22.29
is,16,802.3ad-4NICs-layer2,20.74
is,16,802.3ad-4NICs-layer2,22.26
is,16,802.3ad-4NICs-layer2,23.97
is,16,802.3ad-4NICs-layer2,19.51
is,16,802.3ad-4NICs-layer2,22.65
is,16,802.3ad-4NICs-layer2,22.96
is,16,802.3ad-4NICs-layer2,21.3
is,16,802.3ad-4NICs-layer2,23.73
is,16,802.3ad-4NICs-layer2,20.03
is,16,802.3ad-4NICs-layer2,22.55
is,16,802.3ad-4NICs-layer2,22.52
is,16,802.3ad-4NICs-layer2,20.79
is,16,802.3ad-4NICs-layer2,22.64
is,16,802.3ad-4NICs-layer2,20.13
is,16,802.3ad-4NICs-layer2,22.04
is,16,802.3ad-4NICs-layer2,23.11
is,16,802.3ad-4NICs-layer2,19.91
is,16,802.3ad-4NICs-layer2,24.06
is,16,802.3ad-4NICs-layer2,21.56
is,16,802.3ad-4NICs-layer2,21.02
ft,16,802.3ad-4NICs-layer2,280.82
ft,16,802.3ad-4NICs-layer2,266.45
ft,16,802.3ad-4NICs-layer2,265.92
ft,16,802.3ad-4NICs-layer2,273.58
ft,16,802.3ad-4NICs-layer2,277.23
ft,16,802.3ad-4NICs-layer2,268.73
ft,16,802.3ad-4NICs-layer2,272.88
ft,16,802.3ad-4NICs-layer2,269
ft,16,802.3ad-4NICs-layer2,275.65
ft,16,802.3ad-4NICs-layer2,272.78
ft,16,802.3ad-4NICs-layer2,274.1
ft,16,802.3ad-4NICs-layer2,274.37
ft,16,802.3ad-4NICs-layer2,272.38
ft,16,802.3ad-4NICs-layer2,267.39
ft,16,802.3ad-4NICs-layer2,267.93
ft,16,802.3ad-4NICs-layer2,277.18
ft,16,802.3ad-4NICs-layer2,275.97
ft,16,802.3ad-4NICs-layer2,270.04
ft,16,802.3ad-4NICs-layer2,275.56
ft,16,802.3ad-4NICs-layer2,269.27
ft,16,802.3ad-4NICs-layer2,274.27
ft,16,802.3ad-4NICs-layer2,269.24
ft,16,802.3ad-4NICs-layer2,268.63
ft,16,802.3ad-4NICs-layer2,274.49
ft,16,802.3ad-4NICs-layer2,267.23
ft,16,802.3ad-4NICs-layer2,267.72
ft,16,802.3ad-4NICs-layer2,270.96
ft,16,802.3ad-4NICs-layer2,269.72
ft,16,802.3ad-4NICs-layer2,269.64
ft,16,802.3ad-4NICs-layer2,275.16
is,16,802.3ad-4NICs-layer2,22.07
is,16,802.3ad-4NICs-layer2,22.93
is,16,802.3ad-4NICs-layer2,23.36
is,16,802.3ad-4NICs-layer2,23.04
is,16,802.3ad-4NICs-layer2,23.33
is,16,802.3ad-4NICs-layer2,21.71
is,16,802.3ad-4NICs-layer2,22.52
is,16,802.3ad-4NICs-layer2,23.12
is,16,802.3ad-4NICs-layer2,22.48
is,16,802.3ad-4NICs-layer2,22.75
is,16,802.3ad-4NICs-layer2,22.7
is,16,802.3ad-4NICs-layer2,22.26
is,16,802.3ad-4NICs-layer2,21.66
is,16,802.3ad-4NICs-layer2,21.56
is,16,802.3ad-4NICs-layer2,22.46
is,16,802.3ad-4NICs-layer2,22.06
is,16,802.3ad-4NICs-layer2,21.78
is,16,802.3ad-4NICs-layer2,23.19
is,16,802.3ad-4NICs-layer2,21.25
is,16,802.3ad-4NICs-layer2,23.23
is,16,802.3ad-4NICs-layer2,21.84
is,16,802.3ad-4NICs-layer2,22.61
is,16,802.3ad-4NICs-layer2,21.78
is,16,802.3ad-4NICs-layer2,21.86
is,16,802.3ad-4NICs-layer2,20.03
is,16,802.3ad-4NICs-layer2,22.87
is,16,802.3ad-4NICs-layer2,22.33
is,16,802.3ad-4NICs-layer2,22.05
is,16,802.3ad-4NICs-layer2,22.37
is,16,802.3ad-4NICs-layer2,22.4
ft,16,802.3ad-4NICs-layer2,267.9
ft,16,802.3ad-4NICs-layer2,268.8
ft,16,802.3ad-4NICs-layer2,263.75
ft,16,802.3ad-4NICs-layer2,264.4
ft,16,802.3ad-4NICs-layer2,271.87
ft,16,802.3ad-4NICs-layer2,271.69
ft,16,802.3ad-4NICs-layer2,265.4
ft,16,802.3ad-4NICs-layer2,271.15
ft,16,802.3ad-4NICs-layer2,270.59
ft,16,802.3ad-4NICs-layer2,266.61
ft,16,802.3ad-4NICs-layer2,272.76
ft,16,802.3ad-4NICs-layer2,265.29
ft,16,802.3ad-4NICs-layer2,265.84
ft,16,802.3ad-4NICs-layer2,262.59
ft,16,802.3ad-4NICs-layer2,265.69
ft,16,802.3ad-4NICs-layer2,270.31
ft,16,802.3ad-4NICs-layer2,265.92
ft,16,802.3ad-4NICs-layer2,264.24
ft,16,802.3ad-4NICs-layer2,270.24
ft,16,802.3ad-4NICs-layer2,267.96
ft,16,802.3ad-4NICs-layer2,265.18
ft,16,802.3ad-4NICs-layer2,266.83
ft,16,802.3ad-4NICs-layer2,265.89
ft,16,802.3ad-4NICs-layer2,270.37
ft,16,802.3ad-4NICs-layer2,266.88
ft,16,802.3ad-4NICs-layer2,266.37
ft,16,802.3ad-4NICs-layer2,268.08
ft,16,802.3ad-4NICs-layer2,271.42
ft,16,802.3ad-4NICs-layer2,270.15
ft,16,802.3ad-4NICs-layer2,269.29
bt,16,802.3ad-4NICs-layer2,961.41
bt,16,802.3ad-4NICs-layer2,959.28
bt,16,802.3ad-4NICs-layer2,960.81
bt,16,802.3ad-4NICs-layer2,966.47
bt,16,802.3ad-4NICs-layer2,962.13
bt,16,802.3ad-4NICs-layer2,963.73
bt,16,802.3ad-4NICs-layer2,961.74
bt,16,802.3ad-4NICs-layer2,968.07
bt,16,802.3ad-4NICs-layer2,968.13
bt,16,802.3ad-4NICs-layer2,961.22
bt,16,802.3ad-4NICs-layer2,965.22
bt,16,802.3ad-4NICs-layer2,962.04
bt,16,802.3ad-4NICs-layer2,965.58
bt,16,802.3ad-4NICs-layer2,980.85
bt,16,802.3ad-4NICs-layer2,960.38
bt,16,802.3ad-4NICs-layer2,962.89
bt,16,802.3ad-4NICs-layer2,963.95
bt,16,802.3ad-4NICs-layer2,967.13
bt,16,802.3ad-4NICs-layer2,962.12
bt,16,802.3ad-4NICs-layer2,964.08
bt,16,802.3ad-4NICs-layer2,963.71
bt,16,802.3ad-4NICs-layer2,965.32
bt,16,802.3ad-4NICs-layer2,967.33
bt,16,802.3ad-4NICs-layer2,964.09
bt,16,802.3ad-4NICs-layer2,963.72
bt,16,802.3ad-4NICs-layer2,967.98
bt,16,802.3ad-4NICs-layer2,962.23
bt,16,802.3ad-4NICs-layer2,960.68
