apps,process,bondmode,time
is,64,802.3ad-4NICs-layer2,42.44
is,64,802.3ad-4NICs-layer2,40.5
is,64,802.3ad-4NICs-layer2,40.52
is,64,802.3ad-4NICs-layer2,40.96
is,64,802.3ad-4NICs-layer2,41.01
is,64,802.3ad-4NICs-layer2,37.59
is,64,802.3ad-4NICs-layer2,41.54
is,64,802.3ad-4NICs-layer2,40.91
is,64,802.3ad-4NICs-layer2,43.19
is,64,802.3ad-4NICs-layer2,38.8
is,64,802.3ad-4NICs-layer2,35.84
is,64,802.3ad-4NICs-layer2,36.79
is,64,802.3ad-4NICs-layer2,41.1
is,64,802.3ad-4NICs-layer2,41.35
is,64,802.3ad-4NICs-layer2,38.57
is,64,802.3ad-4NICs-layer2,37.16
is,64,802.3ad-4NICs-layer2,37.44
is,64,802.3ad-4NICs-layer2,37.23
is,64,802.3ad-4NICs-layer2,41.66
is,64,802.3ad-4NICs-layer2,40.33
is,64,802.3ad-4NICs-layer2,41.23
is,64,802.3ad-4NICs-layer2,37.85
is,64,802.3ad-4NICs-layer2,35.5
is,64,802.3ad-4NICs-layer2,34.69
is,64,802.3ad-4NICs-layer2,37.38
is,64,802.3ad-4NICs-layer2,39.58
is,64,802.3ad-4NICs-layer2,38.88
is,64,802.3ad-4NICs-layer2,38.97
is,64,802.3ad-4NICs-layer2,36.54
is,64,802.3ad-4NICs-layer2,38
