apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2,1006.62
sp,64,802.3ad-4NICs-layer2,1050.14
sp,64,802.3ad-4NICs-layer2,986.36
sp,64,802.3ad-4NICs-layer2,887.69
sp,64,802.3ad-4NICs-layer2,1114.44
sp,64,802.3ad-4NICs-layer2,891.95
sp,64,802.3ad-4NICs-layer2,642.72
sp,64,802.3ad-4NICs-layer2,628.09
sp,64,802.3ad-4NICs-layer2,605
sp,64,802.3ad-4NICs-layer2,911.29
sp,64,802.3ad-4NICs-layer2,864.32
sp,64,802.3ad-4NICs-layer2,901.96
sp,64,802.3ad-4NICs-layer2,634.01
sp,64,802.3ad-4NICs-layer2,1017.42
sp,64,802.3ad-4NICs-layer2,655.97
sp,64,802.3ad-4NICs-layer2,815.13
sp,64,802.3ad-4NICs-layer2,1099.63
sp,64,802.3ad-4NICs-layer2,995.53
sp,64,802.3ad-4NICs-layer2,891.99
sp,64,802.3ad-4NICs-layer2,973.82
sp,64,802.3ad-4NICs-layer2,887.23
sp,64,802.3ad-4NICs-layer2,800.23
sp,64,802.3ad-4NICs-layer2,795.02
sp,64,802.3ad-4NICs-layer2,1104.81
sp,64,802.3ad-4NICs-layer2,1060.25
sp,64,802.3ad-4NICs-layer2,1013.29
sp,64,802.3ad-4NICs-layer2,824.9
sp,64,802.3ad-4NICs-layer2,734.7
sp,64,802.3ad-4NICs-layer2,727.42
sp,64,802.3ad-4NICs-layer2,928.95
