apps,process,bondmode,time
bt,64,802.3ad-4NICs-layer2,797.71
bt,64,802.3ad-4NICs-layer2,775.79
bt,64,802.3ad-4NICs-layer2,780.13
bt,64,802.3ad-4NICs-layer2,854.32
bt,64,802.3ad-4NICs-layer2,917.44
bt,64,802.3ad-4NICs-layer2,869.29
bt,64,802.3ad-4NICs-layer2,918.06
bt,64,802.3ad-4NICs-layer2,727.4
bt,64,802.3ad-4NICs-layer2,714.84
bt,64,802.3ad-4NICs-layer2,743.79
bt,64,802.3ad-4NICs-layer2,632.49
bt,64,802.3ad-4NICs-layer2,896.49
bt,64,802.3ad-4NICs-layer2,941.82
bt,64,802.3ad-4NICs-layer2,919.62
bt,64,802.3ad-4NICs-layer2,785.99
bt,64,802.3ad-4NICs-layer2,716.56
bt,64,802.3ad-4NICs-layer2,762.68
bt,64,802.3ad-4NICs-layer2,816.51
bt,64,802.3ad-4NICs-layer2,895.25
bt,64,802.3ad-4NICs-layer2,971.31
bt,64,802.3ad-4NICs-layer2,800.86
bt,64,802.3ad-4NICs-layer2,786.66
bt,64,802.3ad-4NICs-layer2,878.42
bt,64,802.3ad-4NICs-layer2,934.65
bt,64,802.3ad-4NICs-layer2,879.4
bt,64,802.3ad-4NICs-layer2,865.6
bt,64,802.3ad-4NICs-layer2,938.52
bt,64,802.3ad-4NICs-layer2,946.83
bt,64,802.3ad-4NICs-layer2,952.94
bt,64,802.3ad-4NICs-layer2,770.49
