apps,process,bondmode,time
bt,16,802.3ad-4NICs-layer2,1064.64
bt,16,802.3ad-4NICs-layer2,1063.62
bt,16,802.3ad-4NICs-layer2,1054.88
bt,16,802.3ad-4NICs-layer2,1057.06
bt,16,802.3ad-4NICs-layer2,1062.05
bt,16,802.3ad-4NICs-layer2,1060.08
bt,16,802.3ad-4NICs-layer2,1058.6
bt,16,802.3ad-4NICs-layer2,1060.81
bt,16,802.3ad-4NICs-layer2,1056.18
bt,16,802.3ad-4NICs-layer2,1057.1
bt,16,802.3ad-4NICs-layer2,1057.91
bt,16,802.3ad-4NICs-layer2,1060.07
bt,16,802.3ad-4NICs-layer2,1063.11
bt,16,802.3ad-4NICs-layer2,1062.45
bt,16,802.3ad-4NICs-layer2,1059.87
bt,16,802.3ad-4NICs-layer2,1054.73
bt,16,802.3ad-4NICs-layer2,1069.89
bt,16,802.3ad-4NICs-layer2,1059.86
bt,16,802.3ad-4NICs-layer2,1060.13
bt,16,802.3ad-4NICs-layer2,1067.39
bt,16,802.3ad-4NICs-layer2,1058.25
bt,16,802.3ad-4NICs-layer2,1051.12
bt,16,802.3ad-4NICs-layer2,1053.55
bt,16,802.3ad-4NICs-layer2,1061.34
bt,16,802.3ad-4NICs-layer2,1061.23
bt,16,802.3ad-4NICs-layer2,1066.72
bt,16,802.3ad-4NICs-layer2,1057.44
bt,16,802.3ad-4NICs-layer2,1053.35
bt,16,802.3ad-4NICs-layer2,1059.01
bt,16,802.3ad-4NICs-layer2,1061.43
