apps,process,bondmode,time
ft,64,802.3ad-4NICs-layer2,306.9
ft,64,802.3ad-4NICs-layer2,345.81
ft,64,802.3ad-4NICs-layer2,290.96
ft,64,802.3ad-4NICs-layer2,290.93
ft,64,802.3ad-4NICs-layer2,214.61
ft,64,802.3ad-4NICs-layer2,302.89
ft,64,802.3ad-4NICs-layer2,305.62
ft,64,802.3ad-4NICs-layer2,299.46
ft,64,802.3ad-4NICs-layer2,216.51
ft,64,802.3ad-4NICs-layer2,286.3
ft,64,802.3ad-4NICs-layer2,351.26
ft,64,802.3ad-4NICs-layer2,368.26
ft,64,802.3ad-4NICs-layer2,298.27
ft,64,802.3ad-4NICs-layer2,231.83
ft,64,802.3ad-4NICs-layer2,221.9
ft,64,802.3ad-4NICs-layer2,287.7
ft,64,802.3ad-4NICs-layer2,219.1
ft,64,802.3ad-4NICs-layer2,287.89
ft,64,802.3ad-4NICs-layer2,278.31
ft,64,802.3ad-4NICs-layer2,247.53
ft,64,802.3ad-4NICs-layer2,348.3
ft,64,802.3ad-4NICs-layer2,297.83
ft,64,802.3ad-4NICs-layer2,214.34
ft,64,802.3ad-4NICs-layer2,237.61
ft,64,802.3ad-4NICs-layer2,229.13
ft,64,802.3ad-4NICs-layer2,246.67
ft,64,802.3ad-4NICs-layer2,192.08
ft,64,802.3ad-4NICs-layer2,227.29
ft,64,802.3ad-4NICs-layer2,221.96
ft,64,802.3ad-4NICs-layer2,259.11
