apps,process,bondmode,time
ft,16,802.3ad-4NICs-layer2,267.9
ft,16,802.3ad-4NICs-layer2,268.8
ft,16,802.3ad-4NICs-layer2,263.75
ft,16,802.3ad-4NICs-layer2,264.4
ft,16,802.3ad-4NICs-layer2,271.87
ft,16,802.3ad-4NICs-layer2,271.69
ft,16,802.3ad-4NICs-layer2,265.4
ft,16,802.3ad-4NICs-layer2,271.15
ft,16,802.3ad-4NICs-layer2,270.59
ft,16,802.3ad-4NICs-layer2,266.61
ft,16,802.3ad-4NICs-layer2,272.76
ft,16,802.3ad-4NICs-layer2,265.29
ft,16,802.3ad-4NICs-layer2,265.84
ft,16,802.3ad-4NICs-layer2,262.59
ft,16,802.3ad-4NICs-layer2,265.69
ft,16,802.3ad-4NICs-layer2,270.31
ft,16,802.3ad-4NICs-layer2,265.92
ft,16,802.3ad-4NICs-layer2,264.24
ft,16,802.3ad-4NICs-layer2,270.24
ft,16,802.3ad-4NICs-layer2,267.96
ft,16,802.3ad-4NICs-layer2,265.18
ft,16,802.3ad-4NICs-layer2,266.83
ft,16,802.3ad-4NICs-layer2,265.89
ft,16,802.3ad-4NICs-layer2,270.37
ft,16,802.3ad-4NICs-layer2,266.88
ft,16,802.3ad-4NICs-layer2,266.37
ft,16,802.3ad-4NICs-layer2,268.08
ft,16,802.3ad-4NICs-layer2,271.42
ft,16,802.3ad-4NICs-layer2,270.15
ft,16,802.3ad-4NICs-layer2,269.29
