apps,process,bondmode,time
is,16,802.3ad-4NICs-layer2,22.07
is,16,802.3ad-4NICs-layer2,22.93
is,16,802.3ad-4NICs-layer2,23.36
is,16,802.3ad-4NICs-layer2,23.04
is,16,802.3ad-4NICs-layer2,23.33
is,16,802.3ad-4NICs-layer2,21.71
is,16,802.3ad-4NICs-layer2,22.52
is,16,802.3ad-4NICs-layer2,23.12
is,16,802.3ad-4NICs-layer2,22.48
is,16,802.3ad-4NICs-layer2,22.75
is,16,802.3ad-4NICs-layer2,22.7
is,16,802.3ad-4NICs-layer2,22.26
is,16,802.3ad-4NICs-layer2,21.66
is,16,802.3ad-4NICs-layer2,21.56
is,16,802.3ad-4NICs-layer2,22.46
is,16,802.3ad-4NICs-layer2,22.06
is,16,802.3ad-4NICs-layer2,21.78
is,16,802.3ad-4NICs-layer2,23.19
is,16,802.3ad-4NICs-layer2,21.25
is,16,802.3ad-4NICs-layer2,23.23
is,16,802.3ad-4NICs-layer2,21.84
is,16,802.3ad-4NICs-layer2,22.61
is,16,802.3ad-4NICs-layer2,21.78
is,16,802.3ad-4NICs-layer2,21.86
is,16,802.3ad-4NICs-layer2,20.03
is,16,802.3ad-4NICs-layer2,22.87
is,16,802.3ad-4NICs-layer2,22.33
is,16,802.3ad-4NICs-layer2,22.05
is,16,802.3ad-4NICs-layer2,22.37
is,16,802.3ad-4NICs-layer2,22.4
