apps,process,bondmode,time
sp,64,802.3ad-4NICs-layer2,738.36
sp,64,802.3ad-4NICs-layer2,1057.78
sp,64,802.3ad-4NICs-layer2,705.46
sp,64,802.3ad-4NICs-layer2,807.88
sp,64,802.3ad-4NICs-layer2,1056.84
sp,64,802.3ad-4NICs-layer2,925.8
sp,64,802.3ad-4NICs-layer2,795.22
sp,64,802.3ad-4NICs-layer2,752.28
sp,64,802.3ad-4NICs-layer2,890.77
sp,64,802.3ad-4NICs-layer2,784.11
sp,64,802.3ad-4NICs-layer2,785.42
sp,64,802.3ad-4NICs-layer2,766.66
sp,64,802.3ad-4NICs-layer2,884.26
sp,64,802.3ad-4NICs-layer2,877.19
sp,64,802.3ad-4NICs-layer2,805.01
sp,64,802.3ad-4NICs-layer2,857.8
sp,64,802.3ad-4NICs-layer2,690.77
sp,64,802.3ad-4NICs-layer2,869.73
sp,64,802.3ad-4NICs-layer2,1062.26
sp,64,802.3ad-4NICs-layer2,1058.61
sp,64,802.3ad-4NICs-layer2,951.96
sp,64,802.3ad-4NICs-layer2,821.17
sp,64,802.3ad-4NICs-layer2,714.88
sp,64,802.3ad-4NICs-layer2,923.14
sp,64,802.3ad-4NICs-layer2,820.97
sp,64,802.3ad-4NICs-layer2,997.88
sp,64,802.3ad-4NICs-layer2,748.01
sp,64,802.3ad-4NICs-layer2,874.29
sp,64,802.3ad-4NICs-layer2,1023.03
sp,64,802.3ad-4NICs-layer2,1089.05
